Astor Pl,1.8576,4.302,3/
Canal St,0.072,0.1116,2/
50th St,0.1584,0.396,1/
Bergen St,3.1536,1.8252,1/
Pennsylvania Ave,4.2984,3.4128,1/
238th St,8.9424,13.9608,1/
Cathedral Pkwy (110th St),3.0456,5.4504,1/
Kingston - Throop Aves,10.908,10.5372,1/
65th St,4.8312,7.8804,1/
36th St,0.0288,0.2988,1/
Delancey St - Essex St,4.1184,14.8392,3/
Van Siclen Ave,3.6504,2.8548,1/
Norwood Ave,6.0192,2.1924,3/
104th-102nd Sts,6.156,4.7484,1/
DeKalb Ave,5.3208,3.8916,2/
Beach 105th St,1.188,2.5056,1/
Beach 90th St,4.0752,3.6504,1/
Freeman St,19.1808,9.1872,1/
Intervale Ave,7.956,4.4532,1/
182nd-183rd Sts,18.9072,7.2,1/
174th-175th Sts,11.7936,4.2084,1/
167th St,23.8536,15.174,3/
Mets - Willets Point,0.108,0.1008,1/
Junction Blvd,19.656,10.5624,2/
Flushing - Main St,34.1568,60.1992,2/
Buhre Ave,6.6528,11.8152,1/
3rd Ave - 138th St,5.5728,4.14,3/
Castle Hill Ave,11.5992,9.0432,1/
Brooklyn Bridge - City Hall,0.468,1.4364,2/
Zerega Ave,6.264,6.012,1/
Grand Central - 42nd St,0.2016,0.7092,2/
33rd St,6.9984,9.0972,1/
96th St,5.7168,12.2472,1/
77th St,9.8784,21.6432,1/
Chauncey St,3.4632,2.3868,1/
Union St,8.7768,4.0032,1/
Elmhurst Ave,8.9352,9.4788,1/
Ralph Ave,10.2672,6.9372,1/
Pelham Pkwy,10.9728,8.802,2/
Gun Hill Rd,11.1168,8.0532,2/
Nereid Ave (238 St),4.3416,6.2316,1/
Franklin Ave,2.6928,4.1688,1/
Simpson St,2.6424,2.5668,2/
Bronx Park East,6.3576,5.4,1/
Winthrop St,8.1216,10.9224,1/
Van Siclen Ave,5.2704,5.6412,1/
149th St - Grand Concourse,1.0872,1.2564,1/
161st St - Yankee Stadium,0.4536,0.2736,2/
Lexington Ave - 59th St,1.8864,3.4056,1/
E 149th St,6.408,2.4876,3/
Morrison Av - Soundview,10.9152,7.8408,1/
Whitlock Ave,2.772,1.7856,1/
St Lawrence Ave,14.2344,10.6092,1/
Woodside - 61st St,5.7168,9.8856,2/
Far Rockaway - Mott Ave,21.4344,9.3924,2/
72nd St,3.1752,4.6908,1/
96th St,2.952,8.604,3/
168th St,5.472,6.912,2/
Kingsbridge Rd,14.9112,7.2972,2/
42nd St - Bryant Pk,0.072,0.1728,3/
Prospect Park,2.5128,4.4208,1/
55th St,17.4744,7.6644,1/
Jamaica - Van Wyck,4.9536,4.9788,2/
Kew Gardens - Union Tpke,9.1224,10.5408,2/
Sutphin Blvd - Archer Av,8.0064,5.3496,2/
Court Sq - 23rd St,1.3608,0.2988,3/
67th Ave,20.8512,31.5648,1/
Grand Ave - Newtown,13.176,14.9832,1/
Ditmas Ave,17.6472,8.5392,1/
Classon Ave,9.1224,5.5512,3/
Broadway,4.9248,2.8836,1/
Lorimer St,1.5912,1.6632,3/
Sutter Ave,6.552,2.9196,1/
Wilson Ave,5.4792,4.0752,4/
Halsey St,8.7624,7.1172,1/
Lorimer St,4.3992,2.9376,1/
8th Ave,11.4624,8.046,4/
36th Ave,3.78,4.014,1/
Broadway,6.2208,10.8972,3/
Times Sq - 42nd St,0,0.0072,2/
Grand Central - 42nd St,0.324,1.3068,1/
Park Pl,3.8808,4.9392,2/
111th St,6.3144,6.0012,1/
W 4th St - Washington Sq (Lower),0.4032,1.6992,2/
51st St,0.4248,1.728,2/
86th St,8.2152,13.9392,1/
233rd St,8.1792,11.9304,2/
66th St - Lincoln Ctr,7.632,15.7716,2/
Hunts Point Ave,7.4808,5.0148,2/
Canal St,2.6136,2.2428,1/
Middletown Rd,2.9376,3.816,1/
23rd St,2.628,5.4396,2/
Court Sq,0.5616,0.1548,2/
59th St - Columbus Circle,1.5048,3.6792,2/
Hunters Point Ave,2.2032,0.3996,1/
23rd St,0.288,0.7164,1/
Houston St,1.0584,2.0484,1/
104th St,4.5792,4.5216,1/
Broad Channel,0.7632,0.4608,1/
Ocean Pkwy,4.0464,12.4272,1/
Vernon Blvd - Jackson Ave,4.2264,0.9828,1/
68th St - Hunter College,2.8368,11.2572,1/
Queensboro Plz,0.3744,0.1692,1/
Rockaway Blvd,4.248,3.312,1/
Union Sq - 14th St,0.9648,1.5408,1/
Bedford - Nostrand Aves,8.5896,6.9552,1/
15th St - Prospect Park,7.9704,5.4972,1/
7th Ave,11.772,8.2008,3/
Ft Hamilton Pkwy,8.1792,5.5872,1/
Church Ave,13.6944,9.6192,2/
Beverly Rd,9.5256,6.0372,1/
Church Ave,11.3328,7.686,3/
Newkirk Ave,8.496,7.974,1/
Parkside Ave,7.9272,8.73,1/
Grand Army Plaza,6.9624,5.5368,1/
Atlantic Av - Barclay's Center,0.2736,0.2052,2/
Rockaway Ave,9.3672,6.264,3/
Fulton St,3.2616,3.1176,1/
Clinton - Washington Aves,8.568,6.4872,1/
7th Ave,3.5352,3.042,1/
Atlantic Av - Barclay's Center,0.72,0.5976,2/
Atlantic Av - Barclay's Center,4.4712,2.412,2/
Borough Hall,1.656,0.9432,3/
Aqueduct Racetrack,5.3928,7.3404,1/
Morris Park,5.3496,9.486,1/
Pelham Pkwy,6.6024,11.1348,2/
Nostrand Ave,5.3496,5.616,3/
Nevins St,1.044,0.5796,1/
Eastern Pkwy - Bklyn Museum,3.0888,2.8872,1/
Beverly Rd,6.7248,9.72,1/
Church Ave,11.484,14.274,2/
Newkirk Ave,12.7944,15.2424,1/
Brooklyn College - Flatbush Ave,24.912,25.1532,2/
Sterling St,9.4176,7.902,1/
Crown Hts - Utica Ave,16.9344,13.662,2/
Kingston Ave,12.9456,12.1248,1/
Nassau Ave,6.4944,6.7752,1/
Greenpoint Ave,5.0112,6.3612,1/
Marcy Ave,36.0288,13.32,2/
Hewes St,9.5544,3.204,1/
138th St - Grand Concourse,1.188,0.882,1/
5th Ave - 53rd St,0.1728,0.5904,1/
Lexington Ave - 53rd St,5.9112,24.966,2/
28th St,0.9504,0.9504,1/
Herald Sq - 34th St,0.072,0.2592,2/
1st Ave,12.564,26.856,1/
Times Sq - 42nd St,0.036,0.4644,1/
Metropolitan Ave,1.4112,2.0556,3/
Grand St,1.6632,2.8044,3/
Graham Ave,5.004,3.7584,1/
Bedford Ave,10.6416,5.274,1/
Montrose Ave,2.0808,4.5972,1/
Long Island City - Court Sq,0.3528,0.054,1/
21st St,1.6056,0.54,1/
39th Ave,0.252,0.6192,1/
145th St,6.3648,6.7428,1/
157th St,5.58,11.1636,1/
96th St,11.9592,24.1164,2/
103rd St,5.2632,14.3712,1/
Central Park North (110th St),5.4936,4.4136,1/
103rd St,3.9528,7.8624,1/
72nd St,10.9656,23.2524,2/
81st St,3.1176,4.7088,3/
75th Ave,5.7384,6.4332,1/
86th St,6.6744,8.6904,1/
Cathedral Pkwy (110th St),2.34,7.9344,1/
116th St - Columbia University,1.8792,4.59,1/
125th St,6.552,4.986,1/
135th St,13.284,11.61,2/
116th St,6.5016,5.6484,1/
Tremont Ave,12.6936,7.488,3/
137th St - City College,6.336,8.784,3/
145th St,10.116,6.516,1/
176th St,17.9568,8.7912,1/
Burnside Ave,13.788,6.7068,3/
170th St,18.2232,10.1412,1/
168th St,1.5408,2.0088,3/
181st St,9.4032,9.774,1/
191st St,8.6688,14.4504,1/
175th St,10.0584,12.7008,2/
Beach 44th St,3.024,2.52,1/
Beach 60th St,3.6648,2.898,1/
Beach 98th St,1.836,1.2456,1/
Rockaway Park - Beach 116 St,4.6368,8.8308,2/
Beach 36th St,3.6216,2.8872,1/
Beach 25th St,15.1848,12.1644,1/
Parsons Blvd,9.7128,7.2468,3/
169th St,13.7448,10.8216,1/
103rd St - Corona Plaza,31.0896,14.8176,1/
111th St,22.68,9.342,1/
63rd Dr - Rego Park,10.3608,21.7008,1/
Grant Ave,9.1728,6.1056,1/
79th St,8.5968,14.148,1/
Atlantic Ave,4.4136,1.5948,1/
