Astor Pl,258,3/
Canal St,10,2/
50th St,22,1/
Bergen St,438,1/
Pennsylvania Ave,597,1/
238th St,1242,1/
Cathedral Pkwy (110th St),423,1/
Kingston - Throop Aves,1515,1/
65th St,671,1/
36th St,4,1/
Delancey St - Essex St,572,3/
Van Siclen Ave,507,1/
Norwood Ave,836,3/
104th-102nd Sts,855,1/
DeKalb Ave,739,2/
Beach 105th St,165,1/
Beach 90th St,566,1/
Freeman St,2664,1/
Intervale Ave,1105,1/
182nd-183rd Sts,2626,1/
174th-175th Sts,1638,1/
167th St,3313,3/
Mets - Willets Point,15,1/
Junction Blvd,2730,2/
Flushing - Main St,4744,2/
Buhre Ave,924,1/
3rd Ave - 138th St,774,3/
Castle Hill Ave,1611,1/
Brooklyn Bridge - City Hall,65,2/
Zerega Ave,870,1/
Grand Central - 42nd St,28,2/
33rd St,972,1/
96th St,794,1/
77th St,1372,1/
Chauncey St,481,1/
Union St,1219,1/
Elmhurst Ave,1241,1/
Ralph Ave,1426,1/
Pelham Pkwy,1524,2/
Gun Hill Rd,1544,2/
Nereid Ave (238 St),603,1/
Franklin Ave,374,1/
Simpson St,367,2/
Bronx Park East,883,1/
Winthrop St,1128,1/
Van Siclen Ave,732,1/
149th St - Grand Concourse,151,1/
161st St - Yankee Stadium,63,2/
Lexington Ave - 59th St,262,1/
E 149th St,890,3/
Morrison Av - Soundview,1516,1/
Whitlock Ave,385,1/
St Lawrence Ave,1977,1/
Woodside - 61st St,794,2/
Far Rockaway - Mott Ave,2977,2/
72nd St,441,1/
96th St,410,3/
168th St,760,2/
Kingsbridge Rd,2071,2/
42nd St - Bryant Pk,10,3/
Prospect Park,349,1/
55th St,2427,1/
Jamaica - Van Wyck,688,2/
Kew Gardens - Union Tpke,1267,2/
Sutphin Blvd - Archer Av,1112,2/
Court Sq - 23rd St,189,3/
67th Ave,2896,1/
Grand Ave - Newtown,1830,1/
Ditmas Ave,2451,1/
Classon Ave,1267,3/
Broadway,684,1/
Lorimer St,221,3/
Sutter Ave,910,1/
Wilson Ave,761,4/
Halsey St,1217,1/
Lorimer St,611,1/
8th Ave,1592,4/
36th Ave,525,1/
Broadway,864,3/
Times Sq - 42nd St,0,2/
Grand Central - 42nd St,45,1/
Park Pl,539,2/
111th St,877,1/
W 4th St - Washington Sq (Lower),56,2/
51st St,59,2/
86th St,1141,1/
233rd St,1136,2/
66th St - Lincoln Ctr,1060,2/
Hunts Point Ave,1039,2/
Canal St,363,1/
Middletown Rd,408,1/
23rd St,365,2/
Court Sq,78,2/
59th St - Columbus Circle,209,2/
Hunters Point Ave,306,1/
23rd St,40,1/
Houston St,147,1/
104th St,636,1/
Broad Channel,106,1/
Ocean Pkwy,562,1/
Vernon Blvd - Jackson Ave,587,1/
68th St - Hunter College,394,1/
Queensboro Plz,52,1/
Rockaway Blvd,590,1/
Union Sq - 14th St,134,1/
Bedford - Nostrand Aves,1193,1/
15th St - Prospect Park,1107,1/
7th Ave,1635,3/
Ft Hamilton Pkwy,1136,1/
Church Ave,1902,2/
Beverly Rd,1323,1/
Church Ave,1574,3/
Newkirk Ave,1180,1/
Parkside Ave,1101,1/
Grand Army Plaza,967,1/
Atlantic Av - Barclay's Center,38,2/
Rockaway Ave,1301,3/
Fulton St,453,1/
Clinton - Washington Aves,1190,1/
7th Ave,491,1/
Atlantic Av - Barclay's Center,100,2/
Atlantic Av - Barclay's Center,621,2/
Borough Hall,230,3/
Aqueduct Racetrack,749,1/
Morris Park,743,1/
Pelham Pkwy,917,2/
Nostrand Ave,743,3/
Nevins St,145,1/
Eastern Pkwy - Bklyn Museum,429,1/
Beverly Rd,934,1/
Church Ave,1595,2/
Newkirk Ave,1777,1/
Brooklyn College - Flatbush Ave,3460,2/
Sterling St,1308,1/
Crown Hts - Utica Ave,2352,2/
Kingston Ave,1798,1/
Nassau Ave,902,1/
Greenpoint Ave,696,1/
Marcy Ave,5004,2/
Hewes St,1327,1/
138th St - Grand Concourse,165,1/
5th Ave - 53rd St,24,1/
Lexington Ave - 53rd St,821,2/
28th St,132,1/
Herald Sq - 34th St,10,2/
1st Ave,1745,1/
Times Sq - 42nd St,5,1/
Metropolitan Ave,196,3/
Grand St,231,3/
Graham Ave,695,1/
Bedford Ave,1478,1/
Montrose Ave,289,1/
Long Island City - Court Sq,49,1/
21st St,223,1/
39th Ave,35,1/
145th St,884,1/
157th St,775,1/
96th St,1661,2/
103rd St,731,1/
Central Park North (110th St),763,1/
103rd St,549,1/
72nd St,1523,2/
81st St,433,3/
75th Ave,797,1/
86th St,927,1/
Cathedral Pkwy (110th St),325,1/
116th St - Columbia University,261,1/
125th St,910,1/
135th St,1845,2/
116th St,903,1/
Tremont Ave,1763,3/
137th St - City College,880,3/
145th St,1405,1/
176th St,2494,1/
Burnside Ave,1915,3/
170th St,2531,1/
168th St,214,3/
181st St,1306,1/
191st St,1204,1/
175th St,1397,2/
Beach 44th St,420,1/
Beach 60th St,509,1/
Beach 98th St,255,1/
Rockaway Park - Beach 116 St,644,2/
Beach 36th St,503,1/
Beach 25th St,2109,1/
Parsons Blvd,1349,3/
169th St,1909,1/
103rd St - Corona Plaza,4318,1/
111th St,3150,1/
63rd Dr - Rego Park,1439,1/
Grant Ave,1274,1/
79th St,1194,1/
Atlantic Ave,613,1/
Christopher St - Sheridan Sq,449,1/
Ozone Park - Lefferts Blvd,2512,2/
Times Sq - 42nd St,0,2/
W 8th St - NY Aquarium,70,1/
28th St,99,1/
28th St,657,4/
Pelham Bay Park,727,1/
Westchester Sq - E Tremont Ave,820,1/
18th St,44,1/
Grand Central - 42nd St,844,2/
Beach 67th St,1000,4/
W 4th St - Washington Sq (Upper),137,2/
85th St - Forest Pky,997,1/
Woodhaven Blvd,988,1/
111th St,1193,1/
121st St,1317,1/
Halsey St,951,1/
Myrtle - Wyckoff Aves,420,2/
New Lots Ave,1533,4/
Van Siclen Ave,542,1/
Cleveland St,561,1/
Livonia Ave,171,1/
Junius St,404,4/
Rockaway Ave,948,1/
Canarsie - Rockaway Pkwy,2161,2/
E 105th St,1268,1/
Saratoga Ave,1914,1/
Sutter Ave - Rutland Road,2450,1/
New Lots Ave,535,1/
Broadway Junction,128,4/
Alabama Ave,211,1/
Shepherd Ave,1154,1/
Crescent St,1025,1/
Cypress Hills,455,1/
75th St - Eldert Ln,919,1/
69th St,968,1/
74th St - Broadway,1029,2/
Woodhaven Blvd - Queens Mall,3147,4/
Myrtle - Wyckoff Aves,378,2/
Seneca Ave,1085,1/
DeKalb Ave,826,1/
52nd St,621,1/
46th St,703,1/
Northern Blvd,480,4/
46th St,1277,4/
82nd St - Jackson Hts,1802,1/
90th St - Elmhurst Av,3135,1/
Howard Beach - JFK Airport,218,2/
Aqueduct - North Conduit Av,376,2/
Briarwood - Van Wyck Blvd,1069,4/
Forest Hills - 71st Av,1539,2/
Sutphin Blvd,985,1/
Jamaica Ctr - Parsons / Archer,1174,2/
225th St,1626,1/
Elder Ave,1971,1/
Longwood Ave,839,1/
Astoria Blvd,1000,1/
Astoria - Ditmars Blvd,1743,1/
Jackson Ave,1287,1/
Prospect Ave,1679,1/
Cypress Ave,629,1/
174th St,1868,1/
Allerton Ave,1415,1/
E 143rd St - St Mary's St,441,1/
Kingsbridge Rd,2642,4/
Bedford Park Blvd - Lehman College,244,1/
Harlem - 148 St,672,4/
Mt Eden Ave,1620,1/
Fordham Rd,3136,1/
170th St,1528,1/
Bedford Park Blvd,2026,1/
Marble Hill - 225th St,891,1/
231st St,2383,2/
215th St,330,1/
207th St,524,1/
Inwood - 207th St,558,2/
Van Cortlandt Park - 242nd St,408,4/
West Farms Sq - E Tremont Av,2384,1/
219th St,1223,1/
Mosholu Pkwy,1214,4/
Norwood - 205th St,2063,1/
Burke Ave,1317,1/
Baychester Ave,1362,1/
Eastchester - Dyre Ave,1015,1/
Jamaica - 179th St,1735,2/
Wakefield - 241st St,809,4/
Botanic Garden,102,1/
Bushwick - Aberdeen,217,1/
Broadway Junction,27,4/
