Flushing Ave,29.49048,1/
103rd St - Corona Plaza,27.98064,1/
50th St,24.24816,1/
Ft Hamilton Pkwy,21.24144,1/
111th St,20.412,1/
Fordham Rd,20.32128,1/
90th St - Elmhurst Av,20.3148,1/
67th Ave,18.76608,1/
Freeman St,17.26272,1/
182nd-183rd Sts,17.01648,1/
170th St,16.40088,1/
176th St,16.16112,1/
Ditmas Ave,15.88248,1/
Sutter Ave - Rutland Road,15.876,1/
55th St,15.72696,1/
West Farms Sq - E Tremont Av,15.44832,1/
Ave M,15.0012,1/
18th Ave,14.1912,1/
Ave J,14.11344,1/
Beach 25th St,13.66632,1/
Ave U,13.58856,1/
Norwood - 205th St,13.36824,1/
Carroll St,13.2192,1/
Bedford Park Blvd,13.12848,1/
St Lawrence Ave,12.81096,1/
Elder Ave,12.77208,1/
53rd St,12.46752,1/
Saratoga Ave,12.40272,1/
169th St,12.37032,1/
Forest Ave,12.13056,1/
174th St,12.10464,1/
Grand Ave - Newtown,11.8584,1/
20th Ave,11.77416,1/
82nd St - Jackson Hts,11.67696,1/
Kingston Ave,11.65104,1/
Bay Ridge Ave,11.61216,1/
Newkirk Ave,11.51496,1/
167th St,11.48904,1/
Myrtle-Willoughby Aves,11.43072,1/
1st Ave,11.3076,1/
Astoria - Ditmars Blvd,11.29464,1/
Neck Rd,11.20392,1/
Fresh Pond Rd,11.16504,1/
183rd St,10.9188,1/
Prospect Ave,10.87992,1/
174th-175th Sts,10.61424,1/
225th St,10.53648,1/
Mt Eden Ave,10.4976,1/
Castle Hill Ave,10.43928,1/
170th St,9.90144,1/
Ft Hamilton Pkwy,9.88848,1/
Morrison Av - Soundview,9.82368,1/
Kingston - Throop Aves,9.8172,1/
125th St,9.72648,1/
45th St,9.70056,1/
Bedford Ave,9.57744,1/
East Broadway,9.53856,1/
86th St,9.4932,1/
63rd Dr - Rego Park,9.32472,1/
Ralph Ave,9.24048,1/
Allerton Ave,9.1692,1/
Cortelyou Rd,9.11088,1/
145th St,9.1044,1/
71st St,8.92296,1/
79th St,8.91648,1/
116th St,8.90352,1/
77th St,8.89056,1/
Baychester Ave,8.82576,1/
77th St,8.77392,1/
Hewes St,8.59896,1/
Beverly Rd,8.57304,1/
121st St,8.53416,1/
Burke Ave,8.53416,1/
Sterling St,8.47584,1/
Bay Pky,8.46936,1/
