Astor Pl,1099,3/
Canal St,11,2/
50th St,21,1/
Bergen St,615,1/
Pennsylvania Ave,7282,1/
238th St,2463,1/
Cathedral Pkwy (110th St),3465,1/
Kingston - Throop Aves,17833,1/
65th St,300,1/
36th St,21,1/
Delancey St - Essex St,2260,3/
Van Siclen Ave,2445,1/
Norwood Ave,2273,3/
104th-102nd Sts,709,1/
DeKalb Ave,4830,2/
Beach 105th St,249,1/
Beach 90th St,1773,1/
Freeman St,12869,1/
Intervale Ave,5295,1/
182nd-183rd Sts,9235,1/
174th-175th Sts,6783,1/
167th St,17324,3/
Mets - Willets Point,20,1/
Junction Blvd,2268,2/
Flushing - Main St,3460,2/
Buhre Ave,1061,1/
3rd Ave - 138th St,3726,3/
Castle Hill Ave,6753,1/
Brooklyn Bridge - City Hall,200,2/
Zerega Ave,3377,1/
Grand Central - 42nd St,18,2/
33rd St,1168,1/
96th St,1061,1/
77th St,427,1/
Chauncey St,4433,1/
Union St,1194,1/
Elmhurst Ave,474,1/
Ralph Ave,14304,1/
Pelham Pkwy,4052,2/
Gun Hill Rd,11742,2/
Nereid Ave (238 St),6492,1/
Franklin Ave,6987,1/
Simpson St,1544,2/
Bronx Park East,2404,1/
Winthrop St,15192,1/
Van Siclen Ave,9851,1/
149th St - Grand Concourse,951,1/
161st St - Yankee Stadium,360,2/
Lexington Ave - 59th St,78,1/
E 149th St,2541,3/
Morrison Av - Soundview,7723,1/
Whitlock Ave,1587,1/
St Lawrence Ave,8137,1/
Woodside - 61st St,264,2/
Far Rockaway - Mott Ave,8613,2/
72nd St,151,1/
96th St,1442,3/
168th St,1877,2/
Kingsbridge Rd,5112,2/
42nd St - Bryant Pk,56,3/
Prospect Park,6242,1/
55th St,82,1/
Jamaica - Van Wyck,1022,2/
Kew Gardens - Union Tpke,740,2/
Sutphin Blvd - Archer Av,5268,2/
Court Sq - 23rd St,73,3/
67th Ave,1218,1/
Grand Ave - Newtown,427,1/
Ditmas Ave,856,1/
Classon Ave,5789,3/
Broadway,713,1/
Lorimer St,208,3/
Sutter Ave,6981,1/
Wilson Ave,3885,4/
Halsey St,10402,1/
Lorimer St,946,1/
8th Ave,280,4/
36th Ave,1214,1/
Broadway,963,3/
Times Sq - 42nd St,6,2/
Grand Central - 42nd St,2,1/
Park Pl,5286,2/
111th St,1910,1/
W 4th St - Washington Sq (Lower),81,2/
51st St,64,2/
86th St,653,1/
233rd St,13056,2/
66th St - Lincoln Ctr,1163,2/
Hunts Point Ave,4834,2/
Canal St,136,1/
Middletown Rd,548,1/
23rd St,461,2/
Court Sq,19,2/
59th St - Columbus Circle,420,2/
Hunters Point Ave,152,1/
23rd St,149,1/
Houston St,54,1/
104th St,860,1/
Broad Channel,25,1/
Ocean Pkwy,177,1/
Vernon Blvd - Jackson Ave,224,1/
68th St - Hunter College,144,1/
Queensboro Plz,24,1/
Rockaway Blvd,510,1/
Union Sq - 14th St,149,1/
Bedford - Nostrand Aves,8304,1/
15th St - Prospect Park,160,1/
7th Ave,865,3/
Ft Hamilton Pkwy,909,1/
Church Ave,939,2/
Beverly Rd,6414,1/
Church Ave,12185,3/
Newkirk Ave,5534,1/
Parkside Ave,13270,1/
Grand Army Plaza,1465,1/
Atlantic Av - Barclay's Center,96,2/
Rockaway Ave,12565,3/
Fulton St,2395,1/
Clinton - Washington Aves,5565,1/
7th Ave,570,1/
