Astor Pl,0.7269885,3/
Canal St,0.0072765,2/
50th St,0.0138915,1/
Bergen St,0.4068225,1/
Pennsylvania Ave,4.817043,1/
238th St,1.6292745,1/
Cathedral Pkwy (110th St),2.2920975,1/
Kingston - Throop Aves,11.7965295,1/
65th St,0.19845,1/
36th St,0.0138915,1/
Delancey St - Essex St,1.49499,3/
Van Siclen Ave,1.6173675,1/
Norwood Ave,1.5035895,3/
104th-102nd Sts,0.4690035,1/
DeKalb Ave,3.195045,2/
Beach 105th St,0.1647135,1/
Beach 90th St,1.1728395,1/
Freeman St,8.5128435,1/
Intervale Ave,3.5026425,1/
182nd-183rd Sts,6.1089525,1/
174th-175th Sts,4.4869545,1/
167th St,11.459826,3/
Mets - Willets Point,0.01323,1/
Junction Blvd,1.500282,2/
Flushing - Main St,2.28879,2/
Buhre Ave,0.7018515,1/
3rd Ave - 138th St,2.464749,3/
Castle Hill Ave,4.4671095,1/
Brooklyn Bridge - City Hall,0.1323,2/
Zerega Ave,2.2338855,1/
Grand Central - 42nd St,0.011907,2/
33rd St,0.772632,1/
96th St,0.7018515,1/
77th St,0.2824605,1/
Chauncey St,2.9324295,1/
Union St,0.789831,1/
Elmhurst Ave,0.313551,1/
Ralph Ave,9.462096,1/
Pelham Pkwy,2.680398,2/
Gun Hill Rd,7.767333,2/
Nereid Ave (238 St),4.294458,1/
Franklin Ave,4.6219005,1/
Simpson St,1.021356,2/
Bronx Park East,1.590246,1/
Winthrop St,10.049508,1/
Van Siclen Ave,6.5164365,1/
149th St - Grand Concourse,0.6290865,1/
161st St - Yankee Stadium,0.23814,2/
Lexington Ave - 59th St,0.051597,1/
E 149th St,1.6808715,3/
Morrison Av - Soundview,5.1087645,1/
Whitlock Ave,1.0498005,1/
St Lawrence Ave,5.3826255,1/
Woodside - 61st St,0.174636,2/
Far Rockaway - Mott Ave,5.6974995,2/
72nd St,0.0998865,1/
96th St,0.953883,3/
168th St,1.2416355,2/
Kingsbridge Rd,3.381588,2/
42nd St - Bryant Pk,0.037044,3/
Prospect Park,4.129083,1/
55th St,0.054243,1/
Jamaica - Van Wyck,0.676053,2/
Kew Gardens - Union Tpke,0.48951,2/
Sutphin Blvd - Archer Av,3.484782,2/
Court Sq - 23rd St,0.0482895,3/
67th Ave,0.805707,1/
Grand Ave - Newtown,0.2824605,1/
Ditmas Ave,0.566244,1/
Classon Ave,3.8294235,3/
Broadway,0.4716495,1/
Lorimer St,0.137592,3/
Sutter Ave,4.6179315,1/
Wilson Ave,2.5699275,4/
Halsey St,6.880923,1/
Lorimer St,0.625779,1/
8th Ave,0.18522,4/
36th Ave,0.803061,1/
Broadway,0.6370245,3/
Times Sq - 42nd St,0.003969,2/
Grand Central - 42nd St,0.001323,1/
Park Pl,3.496689,2/
111th St,1.263465,1/
W 4th St - Washington Sq (Lower),0.0535815,2/
51st St,0.042336,2/
86th St,0.4319595,1/
233rd St,8.636544,2/
66th St - Lincoln Ctr,0.7693245,2/
Hunts Point Ave,3.197691,2/
Canal St,0.089964,1/
Middletown Rd,0.362502,1/
23rd St,0.3049515,2/
Court Sq,0.0125685,2/
59th St - Columbus Circle,0.27783,2/
Hunters Point Ave,0.100548,1/
23rd St,0.0985635,1/
Houston St,0.035721,1/
104th St,0.56889,1/
Broad Channel,0.0165375,1/
Ocean Pkwy,0.1170855,1/
Vernon Blvd - Jackson Ave,0.148176,1/
68th St - Hunter College,0.095256,1/
Queensboro Plz,0.015876,1/
Rockaway Blvd,0.337365,1/
Union Sq - 14th St,0.0985635,1/
Bedford - Nostrand Aves,5.493096,1/
15th St - Prospect Park,0.10584,1/
7th Ave,0.5721975,3/
Ft Hamilton Pkwy,0.6013035,1/
Church Ave,0.6211485,2/
Beverly Rd,4.242861,1/
Church Ave,8.0603775,3/
Newkirk Ave,3.660741,1/
Parkside Ave,8.778105,1/
Grand Army Plaza,0.9690975,1/
Atlantic Av - Barclay's Center,0.063504,2/
Rockaway Ave,8.3117475,3/
Fulton St,1.5842925,1/
Clinton - Washington Aves,3.6812475,1/
7th Ave,0.377055,1/
Atlantic Av - Barclay's Center,0.265923,2/
Atlantic Av - Barclay's Center,1.1728395,2/
Borough Hall,0.1580985,3/
Aqueduct Racetrack,0.3261195,1/
Morris Park,1.1133045,1/
Pelham Pkwy,1.8727065,2/
Nostrand Ave,5.6631015,3/
Nevins St,0.2692305,1/
Eastern Pkwy - Bklyn Museum,1.524096,1/
Beverly Rd,9.0817335,1/
Church Ave,16.2563625,2/
Newkirk Ave,16.309944,1/
Brooklyn College - Flatbush Ave,22.051764,2/
Sterling St,6.6632895,1/
Crown Hts - Utica Ave,15.6319065,2/
Kingston Ave,8.801919,1/
Nassau Ave,0.541107,1/
Greenpoint Ave,0.31752,1/
Marcy Ave,1.8211095,2/
Hewes St,0.2493855,1/
138th St - Grand Concourse,0.563598,1/
5th Ave - 53rd St,0.007938,1/
Lexington Ave - 53rd St,0.2136645,2/
28th St,0.0443205,1/
Herald Sq - 34th St,0.0257985,2/
1st Ave,2.611602,1/
Times Sq - 42nd St,0.142884,1/
Metropolitan Ave,0.209034,3/
Grand St,0.603288,3/
Graham Ave,0.5708745,1/
Bedford Ave,0.8315055,1/
Montrose Ave,1.424871,1/
Long Island City - Court Sq,0.015876,1/
21st St,0.018522,1/
39th Ave,0.0350595,1/
145th St,3.0581145,1/
157th St,3.2248125,1/
96th St,1.467207,2/
103rd St,1.907766,1/
Central Park North (110th St),3.781134,1/
103rd St,1.6676415,1/
72nd St,0.5430915,2/
81st St,0.1342845,3/
75th Ave,0.1633905,1/
86th St,0.4293135,1/
Cathedral Pkwy (110th St),0.869211,1/
116th St - Columbia University,0.956529,1/
125th St,5.6167965,1/
135th St,10.245312,2/
116th St,5.08032,1/
Tremont Ave,4.7528775,3/
137th St - City College,3.1004505,3/
145th St,7.402185,1/
176th St,7.1594145,1/
Burnside Ave,4.5914715,3/
170th St,7.920801,1/
168th St,0.4319595,3/
