Park Pl,5,1/
Rector St,5,1/
Wall St,9,1/
Mets - Willets Point,11,1/
Long Island City - Court Sq,13,1/
Chambers St,14,1/
Broad St,17,1/
Canal St,19,1/
Whitehall St,25,1/
Queensboro Plz,44,1/
Canal St - Holland Tunnel,46,1/
City Hall,47,1/
5th Ave - 53rd St,55,1/
Canal St,71,1/
36th St,73,1/
50th St,75,1/
Hunters Point Ave,80,1/
21st St,80,1/
18th St,102,1/
28th St,115,1/
Broad Channel,116,1/
Hoyt St,122,1/
Botanic Garden,127,1/
Wall St,129,1/
Cortlandt St,130,1/
39th Ave,138,1/
Prince St,139,1/
57th St,151,1/
5th Ave - 59th St,163,1/
Grand Central - 42nd St,165,1/
Vernon Blvd - Jackson Ave,173,1/
Nevins St,197,1/
Times Sq - 42nd St,204,1/
Bushwick - Aberdeen,205,1/
Bay Pky,234,1/
23rd St,243,1/
Union Sq - 14th St,246,1/
Broadway Junction,246,1/
23rd St,252,1/
Franklin St,257,1/
Rector St,259,1/
Spring St,261,1/
Canal St,273,1/
Lexington Ave - 59th St,274,1/
28th St,294,1/
Houston St,311,1/
Spring St,322,1/
Alabama Ave,343,1/
4th Av - 9th St,346,1/
Cypress Hills,347,1/
Livonia Ave,358,1/
Bergen St,379,1/
Liberty Ave,393,1/
72nd St,422,1/
7th Ave,438,1/
Bedford Park Blvd - Lehman College,450,1/
Beach 105th St,474,1/
Beach 98th St,497,1/
23rd St,504,1/
138th St - Grand Concourse,530,1/
Morgan Ave,536,1/
Canal St,539,1/
Bowery,540,1/
149th St - Grand Concourse,554,1/
4th Av - 9th St,556,1/
116th St - Columbia University,562,1/
8th St - NYU,566,1/
190th St,573,1/
Ave U,575,1/
Clark St,600,1/
Prospect Park,616,1/
Eastern Pkwy - Bklyn Museum,624,1/
High St,634,1/
25th St,635,1/
Cleveland St,659,1/
Grand Army Plaza,664,1/
W 8th St - NY Aquarium,676,1/
Court St,683,1/
Central Ave,685,1/
215th St,699,1/
Lafayette Ave,726,1/
75th Ave,735,1/
8th Ave,751,1/
Christopher St - Sheridan Sq,752,1/
Lorimer St,760,1/
Whitlock Ave,771,1/
Franklin Ave,776,1/
Chauncey St,788,1/
9th Ave,804,1/
Atlantic Ave,805,1/
President St,809,1/
Seneca Ave,819,1/
Graham Ave,836,1/
Union St,843,1/
E 143rd St - St Mary's St,851,1/
Fulton St,854,1/
Prospect Ave,856,1/
52nd St,859,1/
69th St,861,1/
75th St - Eldert Ln,862,1/
Ave U,866,1/
68th St - Hunter College,868,1/
Van Siclen Ave,869,1/
Rockaway Blvd,878,1/
Clinton - Washington Aves,878,1/
Ft Hamilton Pkwy,880,1/
Broadway,896,1/
3rd Ave,904,1/
Grand St,907,1/
Crescent St,933,1/
Hewes St,934,1/
65th St,939,1/
Halsey St,957,1/
15th St - Prospect Park,979,1/
104th-102nd Sts,984,1/
85th St - Forest Pky,988,1/
155th St,1003,1/
40th St,1011,1/
Middletown Rd,1027,1/
Nostrand Ave,1034,1/
104th St,1039,1/
111th St,1050,1/
36th Ave,1055,1/
Gravesend - 86th St,1065,1/
Cathedral Pkwy (110th St),1082,1/
Beach 90th St,1098,1/
57th St,1102,1/
Beach 60th St,1128,1/
96th St,1148,1/
Beach 36th St,1155,1/
Beach 44th St,1156,1/
Shepherd Ave,1162,1/
Westchester Sq - E Tremont Ave,1163,1/
149th St - Grand Concourse,1165,1/
116th St,1169,1/
33rd St,1175,1/
111th St,1190,1/
207th St,1191,1/
125th St,1195,1/
Sterling St,1197,1/
DeKalb Ave,1202,1/
Van Siclen Ave,1237,1/
Flushing Ave,1244,1/
Ave P,1246,1/
20th Ave,1269,1/
Cathedral Pkwy (110th St),1301,1/
80th St,1307,1/
Nassau Ave,1311,1/
86th St,1312,1/
Beverly Rd,1344,1/
Pennsylvania Ave,1348,1/
Sutphin Blvd,1357,1/
Forest Ave,1375,1/
Beverly Rd,1380,1/
Ave N,1380,1/
Carroll St,1414,1/
25th Ave,1421,1/
Clinton - Washington Aves,1434,1/
Woodlawn,1452,1/
86th St,1453,1/
Sutter Ave,1463,1/
55th St,1476,1/
Longwood Ave,1477,1/
Knickerbocker Ave,1477,1/
Ave X,1486,1/
Bedford Ave,1498,1/
Central Park North (110th St),1498,1/
Bay 50th St,1506,1/
23rd St,1506,1/
145th St,1510,1/
Greenpoint Ave,1517,1/
Cypress Ave,1517,1/
New Lots Ave,1524,1/
53rd St,1527,1/
Grant Ave,1536,1/
Cortelyou Rd,1542,1/
Parkside Ave,1557,1/
Chambers St,1557,1/
88th St,1557,1/
Aqueduct Racetrack,1559,1/
Winthrop St,1567,1/
116th St,1592,1/
79th St,1599,1/
46th St,1601,1/
Newkirk Ave,1620,1/
Zerega Ave,1653,1/
18th Ave,1669,1/
Halsey St,1677,1/
45th St,1685,1/
59th St,1693,1/
Kosciuszko St,1700,1/
Montrose Ave,1736,1/
Pelham Bay Park,1745,1/
Ditmas Ave,1755,1/
Nereid Ave (238 St),1771,1/
Marble Hill - 225th St,1806,1/
Fresh Pond Rd,1820,1/
Woodhaven Blvd,1822,1/
Bergen St,1826,1/
103rd St,1839,1/
York St,1857,1/
77th St,1862,1/
135th St,1863,1/
Astoria Blvd,1867,1/
Gates Ave,1891,1/
Ralph Ave,1893,1/
183rd St,1895,1/
155th St,1903,1/
79th St,1918,1/
121st St,1923,1/
50th St,1948,1/
145th St,2005,1/
Newkirk Ave,2019,1/
174th-175th Sts,2041,1/
Myrtle-Willoughby Aves,2042,1/
Ave J,2048,1/
Dyckman St,2054,1/
Van Siclen Ave,2065,1/
18th Ave,2076,1/
Bay Pky,2080,1/
103rd St,2094,1/
Intervale Ave,2111,1/
Ocean Pkwy,2120,1/
169th St,2124,1/
Elmhurst Ave,2131,1/
77th St,2131,1/
86th St,2131,1/
Bedford - Nostrand Aves,2144,1/
145th St,2148,1/
20th Ave,2193,1/
