Astor Pl,1.089094272,3/
Canal St,0.016434419,2/
50th St,0.0945,1/
Bergen St,0.478559296,1/
Pennsylvania Ave,1.69848,1/
238th St,3.185709878,1/
Cathedral Pkwy (110th St),1.642197449,1/
Kingston - Throop Aves,3.33173548,1/
65th St,1.199723762,1/
36th St,0.09198,1/
Delancey St - Essex St,4.894441155,3/
Van Siclen Ave,1.106756474,1/
Norwood Ave,0.666995536,3/
104th-102nd Sts,1.239635995,1/
DeKalb Ave,2.018215592,2/
Beach 105th St,0.701952793,1/
Beach 90th St,1.384034426,1/
Freeman St,5.767536744,1/
Intervale Ave,2.670439696,1/
182nd-183rd Sts,4.943971146,1/
174th-175th Sts,2.578251585,1/
167th St,8.368097507,3/
Mets - Willets Point,0.01386,1/
Junction Blvd,3.312430899,2/
Flushing - Main St,8.827182019,2/
Buhre Ave,3.595901118,1/
3rd Ave - 138th St,2.465262265,3/
Castle Hill Ave,3.381899293,1/
Brooklyn Bridge - City Hall,0.30162,2/
Zerega Ave,2.10263491,1/
Grand Central - 42nd St,0.09324,2/
33rd St,1.483687871,1/
96th St,1.45308854,1/
77th St,2.350697703,1/
Chauncey St,0.995378366,1/
Union St,1.06218,1/
Elmhurst Ave,2.717169875,1/
Ralph Ave,2.394865464,1/
Pelham Pkwy,4.248446343,2/
Gun Hill Rd,3.816687638,2/
Nereid Ave (238 St),2.232396644,1/
Franklin Ave,0.97776,1/
Simpson St,1.220737924,2/
Bronx Park East,2.779499007,1/
Winthrop St,2.037113632,1/
Van Siclen Ave,2.604795596,1/
149th St - Grand Concourse,0.70046881,1/
161st St - Yankee Stadium,0.188132762,2/
Lexington Ave - 59th St,0.346039335,1/
E 149th St,1.622552138,3/
Morrison Av - Soundview,4.154759644,1/
Whitlock Ave,0.97146,1/
St Lawrence Ave,4.446806367,1/
Woodside - 61st St,1.354071918,2/
Far Rockaway - Mott Ave,4.639039389,2/
72nd St,0.531794533,1/
96th St,1.702435672,3/
168th St,2.773708319,2/
Kingsbridge Rd,3.600124309,2/
42nd St - Bryant Pk,0.073223294,3/
Prospect Park,0.776402803,1/
55th St,1.867721005,1/
Jamaica - Van Wyck,1.477430823,2/
Kew Gardens - Union Tpke,2.080206967,2/
Sutphin Blvd - Archer Av,1.721272164,2/
Court Sq - 23rd St,0.069268826,3/
67th Ave,6.610550663,1/
Grand Ave - Newtown,3.043094438,1/
Ditmas Ave,2.214559024,1/
Classon Ave,2.021846216,3/
Broadway,1.12942472,1/
Lorimer St,0.53193462,3/
Sutter Ave,1.84338,1/
Wilson Ave,1.15174697,4/
Halsey St,2.115408403,1/
Lorimer St,0.9576,1/
8th Ave,1.984694932,4/
36th Ave,1.329430618,1/
Broadway,2.747339911,3/
