Astor Pl,5.44547136,3/
Canal St,0.082172096,2/
50th St,0.4725,1/
Bergen St,2.39279648,1/
Pennsylvania Ave,8.4924,1/
238th St,15.92854939,1/
Cathedral Pkwy (110th St),8.210987246,1/
Kingston - Throop Aves,16.6586774,1/
65th St,5.99861881,1/
36th St,0.4599,1/
Delancey St - Essex St,24.47220578,3/
Van Siclen Ave,5.53378237,1/
Norwood Ave,3.33497768,3/
104th-102nd Sts,6.198179976,1/
DeKalb Ave,10.09107796,2/
Beach 105th St,3.509763966,1/
Beach 90th St,6.92017213,1/
Freeman St,28.83768372,1/
Intervale Ave,13.35219848,1/
182nd-183rd Sts,24.71985574,1/
174th-175th Sts,12.89125793,1/
167th St,41.84048754,3/
Mets - Willets Point,0.0693,1/
Junction Blvd,16.5621545,2/
Flushing - Main St,44.1359101,2/
Buhre Ave,17.97950559,1/
3rd Ave - 138th St,12.32631133,3/
Castle Hill Ave,16.90949647,1/
Brooklyn Bridge - City Hall,1.5081,2/
Zerega Ave,10.51317455,1/
Grand Central - 42nd St,0.4662,2/
33rd St,7.418439356,1/
96th St,7.2654427,1/
77th St,11.75348852,1/
Chauncey St,4.97689183,1/
Union St,5.3109,1/
Elmhurst Ave,13.58584938,1/
Ralph Ave,11.97432732,1/
Pelham Pkwy,21.24223172,2/
Gun Hill Rd,19.08343819,2/
Nereid Ave (238 St),11.16198322,1/
Franklin Ave,4.8888,1/
Simpson St,6.10368962,2/
Bronx Park East,13.89749504,1/
Winthrop St,10.18556816,1/
Van Siclen Ave,13.02397798,1/
149th St - Grand Concourse,3.50234405,1/
161st St - Yankee Stadium,0.94066381,2/
Lexington Ave - 59th St,1.730196676,1/
E 149th St,8.11276069,3/
Morrison Av - Soundview,20.77379822,1/
Whitlock Ave,4.8573,1/
St Lawrence Ave,22.23403184,1/
Woodside - 61st St,6.77035959,2/
Far Rockaway - Mott Ave,23.19519694,2/
72nd St,2.658972666,1/
96th St,8.51217836,3/
168th St,13.8685416,2/
Kingsbridge Rd,18.00062155,2/
42nd St - Bryant Pk,0.36611647,3/
Prospect Park,3.882014016,1/
55th St,9.338605026,1/
Jamaica - Van Wyck,7.387154116,2/
Kew Gardens - Union Tpke,10.40103484,2/
Sutphin Blvd - Archer Av,8.60636082,2/
Court Sq - 23rd St,0.34634413,3/
67th Ave,33.05275332,1/
Grand Ave - Newtown,15.21547219,1/
Ditmas Ave,11.07279512,1/
Classon Ave,10.10923108,3/
Broadway,5.6471236,1/
Lorimer St,2.6596731,3/
Sutter Ave,9.2169,1/
Wilson Ave,5.75873485,4/
Halsey St,10.57704202,1/
Lorimer St,4.788,1/
8th Ave,9.92347466,4/
36th Ave,6.64715309,1/
Broadway,13.73669956,3/
Times Sq - 42nd St,0.0252,2/
Grand Central - 42nd St,1.0395,1/
Park Pl,7.084756786,2/
111th St,7.496489026,1/
W 4th St - Washington Sq (Lower),1.3419,2/
51st St,1.279326726,2/
86th St,9.34570392,1/
233rd St,21.50378372,2/
66th St - Lincoln Ctr,12.57889514,2/
Hunts Point Ave,11.56145663,2/
Canal St,1.72746,1/
Middletown Rd,6.655551866,1/
23rd St,4.959423846,2/
Court Sq,0.163633876,2/
59th St - Columbus Circle,4.052894536,2/
Hunters Point Ave,0.50416253,1/
23rd St,1.5309,1/
Houston St,1.96740372,1/
104th St,6.55990046,1/
Broad Channel,0.732507476,1/
Ocean Pkwy,13.51342574,1/
Vernon Blvd - Jackson Ave,1.08971524,1/
68th St - Hunter College,5.4684,1/
Queensboro Plz,0.2772,1/
Rockaway Blvd,5.5314,1/
Union Sq - 14th St,1.5498,1/
Bedford - Nostrand Aves,13.56419241,1/
15th St - Prospect Park,6.168157886,1/
7th Ave,7.59761648,3/
Ft Hamilton Pkwy,5.5524234,1/
Church Ave,13.99515095,2/
Beverly Rd,8.71531173,1/
Church Ave,10.41769775,3/
Newkirk Ave,10.2072522,1/
Parkside Ave,9.821200806,1/
Grand Army Plaza,4.184476926,1/
Atlantic Av - Barclay's Center,0.3339,2/
Rockaway Ave,11.31540093,3/
Fulton St,5.505961246,1/
Clinton - Washington Aves,9.04302855,1/
7th Ave,2.765693296,1/
Atlantic Av - Barclay's Center,1.143298816,2/
Atlantic Av - Barclay's Center,4.426404506,2/
Borough Hall,1.28558001,3/
Aqueduct Racetrack,9.822581346,1/
Morris Park,14.24157362,1/
Pelham Pkwy,14.44962431,2/
Nostrand Ave,9.998694706,3/
Nevins St,1.24693922,1/
Eastern Pkwy - Bklyn Museum,3.9312,1/
Beverly Rd,8.469774086,1/
Church Ave,13.52671169,2/
Newkirk Ave,12.7347729,1/
Brooklyn College - Flatbush Ave,27.53588716,2/
Sterling St,7.5585512,1/
Crown Hts - Utica Ave,24.90525486,2/
Kingston Ave,14.32702403,1/
Nassau Ave,8.2593,1/
Greenpoint Ave,9.558353886,1/
Marcy Ave,25.31210442,2/
Hewes St,5.88843585,1/
138th St - Grand Concourse,3.34298925,1/
5th Ave - 53rd St,0.34592822,1/
Lexington Ave - 53rd St,12.29501019,2/
28th St,0.7245,1/
Herald Sq - 34th St,0.27057479,2/
1st Ave,34.96885316,1/
Times Sq - 42nd St,1.28825273,1/
Metropolitan Ave,4.347,3/
Grand St,5.65192186,3/
Graham Ave,5.26721777,1/
Bedford Ave,9.442824516,1/
Montrose Ave,10.9368,1/
Long Island City - Court Sq,0.0819,1/
21st St,0.504,1/
39th Ave,0.869846076,1/
145th St,12.63371774,1/
157th St,17.48843864,1/
96th St,20.0744672,2/
103rd St,13.3291079,1/
Central Park North (110th St),9.612007386,1/
103rd St,11.97918474,1/
72nd St,14.96351911,2/
81st St,3.5154,3/
75th Ave,4.64392591,1/
86th St,8.266274906,1/
Cathedral Pkwy (110th St),6.93784164,1/
116th St - Columbia University,3.582746806,1/
125th St,7.54773055,1/
135th St,18.39818119,2/
116th St,10.10316316,1/
Tremont Ave,20.13148222,3/
137th St - City College,14.16944781,3/
145th St,13.5332444,1/
176th St,29.59310888,1/
Burnside Ave,19.57451478,3/
170th St,33.86881264,1/
168th St,4.640874516,3/
181st St,19.9669042,1/
191st St,19.05988424,1/
175th St,22.03480318,2/
Beach 44th St,7.730484886,1/
Beach 60th St,7.53267182,1/
Beach 98th St,3.192529546,1/
Rockaway Park - Beach 116 St,13.60694463,2/
Beach 36th St,7.39260136,1/
Beach 25th St,20.92257744,1/
Parsons Blvd,9.78257931,3/
169th St,13.63294002,1/
103rd St - Corona Plaza,26.8263008,1/
111th St,16.98945512,1/
63rd Dr - Rego Park,21.05388344,1/
Grant Ave,9.699328466,1/
79th St,10.0949655,1/
Atlantic Ave,5.072268526,1/
Christopher St - Sheridan Sq,4.74097797,1/
Ozone Park - Lefferts Blvd,26.75274862,2/
Times Sq - 42nd St,0,2/
W 8th St - NY Aquarium,4.3253171,1/
28th St,1.851716396,1/
