Astor Pl,1035,3/
Canal St,23,2/
50th St,109,1/
Bergen St,913,1/
Pennsylvania Ave,1686,1/
238th St,7644,1/
Cathedral Pkwy (110th St),2816,1/
Kingston - Throop Aves,2755,1/
65th St,4497,1/
36th St,295,1/
Delancey St - Essex St,8819,3/
Van Siclen Ave,4397,1/
Norwood Ave,4714,3/
104th-102nd Sts,6374,1/
DeKalb Ave,2124,2/
Beach 105th St,523,1/
Beach 90th St,2387,1/
Freeman St,17731,1/
Intervale Ave,8157,1/
182nd-183rd Sts,17404,1/
174th-175th Sts,10378,1/
167th St,26517,3/
Mets - Willets Point,31,1/
Junction Blvd,23981,2/
Flushing - Main St,13296,2/
Buhre Ave,8279,1/
3rd Ave - 138th St,7130,3/
Castle Hill Ave,11592,1/
Brooklyn Bridge - City Hall,257,2/
Zerega Ave,6842,1/
Grand Central - 42nd St,61,2/
33rd St,1291,1/
96th St,2708,1/
77th St,2105,1/
Chauncey St,1789,1/
Union St,1887,1/
Elmhurst Ave,7797,1/
Ralph Ave,2777,1/
Pelham Pkwy,12534,2/
Gun Hill Rd,7486,2/
Nereid Ave (238 St),2528,1/
Franklin Ave,857,1/
Simpson St,4500,2/
Bronx Park East,7697,1/
Winthrop St,1562,1/
Van Siclen Ave,2861,1/
149th St - Grand Concourse,1754,1/
161st St - Yankee Stadium,608,2/
Lexington Ave - 59th St,218,1/
E 149th St,6383,3/
Morrison Av - Soundview,13566,1/
Whitlock Ave,4181,1/
St Lawrence Ave,13532,1/
Woodside - 61st St,5659,2/
Far Rockaway - Mott Ave,7842,2/
72nd St,453,1/
96th St,1928,3/
168th St,11462,2/
Kingsbridge Rd,17404,2/
42nd St - Bryant Pk,48,3/
Prospect Park,993,1/
55th St,834,1/
Jamaica - Van Wyck,3648,2/
Kew Gardens - Union Tpke,3549,2/
Sutphin Blvd - Archer Av,5035,2/
Court Sq - 23rd St,259,3/
67th Ave,7864,1/
Grand Ave - Newtown,8358,1/
Ditmas Ave,3000,1/
Classon Ave,2408,3/
Broadway,2186,1/
Lorimer St,997,3/
Sutter Ave,3219,1/
Wilson Ave,5912,4/
Halsey St,5311,1/
Lorimer St,1732,1/
8th Ave,2973,4/
36th Ave,3272,1/
Broadway,5148,3/
Times Sq - 42nd St,0,2/
Grand Central - 42nd St,75,1/
Park Pl,1318,2/
111th St,3743,1/
W 4th St - Washington Sq (Lower),208,2/
51st St,153,2/
86th St,2226,1/
233rd St,4322,2/
66th St - Lincoln Ctr,2749,2/
Hunts Point Ave,8839,2/
Canal St,256,1/
Middletown Rd,3568,1/
23rd St,1008,2/
Court Sq,139,2/
59th St - Columbus Circle,1033,2/
Hunters Point Ave,290,1/
23rd St,209,1/
Houston St,285,1/
104th St,2707,1/
Broad Channel,134,1/
Ocean Pkwy,901,1/
Vernon Blvd - Jackson Ave,682,1/
68th St - Hunter College,617,1/
Queensboro Plz,213,1/
Rockaway Blvd,4823,1/
Union Sq - 14th St,302,1/
Bedford - Nostrand Aves,2666,1/
15th St - Prospect Park,1995,1/
7th Ave,2460,3/
Ft Hamilton Pkwy,1835,1/
Church Ave,4020,2/
Beverly Rd,2838,1/
Church Ave,5700,3/
