Astor Pl,0.9315,3/
Canal St,0.0207,2/
50th St,0.0981,1/
Bergen St,0.8217,1/
Pennsylvania Ave,1.5174,1/
238th St,6.8796,1/
Cathedral Pkwy (110th St),2.5344,1/
Kingston - Throop Aves,2.4795,1/
65th St,4.0473,1/
36th St,0.2655,1/
Delancey St - Essex St,7.9371,3/
Van Siclen Ave,3.9573,1/
Norwood Ave,4.2426,3/
104th-102nd Sts,5.7366,1/
DeKalb Ave,1.9116,2/
Beach 105th St,0.4707,1/
Beach 90th St,2.1483,1/
Freeman St,15.9579,1/
Intervale Ave,7.3413,1/
182nd-183rd Sts,15.6636,1/
174th-175th Sts,9.3402,1/
167th St,23.8653,3/
Mets - Willets Point,0.0279,1/
Junction Blvd,21.5829,2/
Flushing - Main St,11.9664,2/
Buhre Ave,7.4511,1/
3rd Ave - 138th St,6.417,3/
Castle Hill Ave,10.4328,1/
Brooklyn Bridge - City Hall,0.2313,2/
Zerega Ave,6.1578,1/
Grand Central - 42nd St,0.0549,2/
33rd St,1.1619,1/
96th St,2.4372,1/
77th St,1.8945,1/
Chauncey St,1.6101,1/
Union St,1.6983,1/
Elmhurst Ave,7.0173,1/
Ralph Ave,2.4993,1/
Pelham Pkwy,11.2806,2/
Gun Hill Rd,6.7374,2/
Nereid Ave (238 St),2.2752,1/
Franklin Ave,0.7713,1/
Simpson St,4.05,2/
Bronx Park East,6.9273,1/
Winthrop St,1.4058,1/
Van Siclen Ave,2.5749,1/
149th St - Grand Concourse,1.5786,1/
161st St - Yankee Stadium,0.5472,2/
Lexington Ave - 59th St,0.1962,1/
E 149th St,5.7447,3/
Morrison Av - Soundview,12.2094,1/
Whitlock Ave,3.7629,1/
St Lawrence Ave,12.1788,1/
Woodside - 61st St,5.0931,2/
Far Rockaway - Mott Ave,7.0578,2/
72nd St,0.4077,1/
96th St,1.7352,3/
168th St,10.3158,2/
Kingsbridge Rd,15.6636,2/
42nd St - Bryant Pk,0.0432,3/
Prospect Park,0.8937,1/
55th St,0.7506,1/
Jamaica - Van Wyck,3.2832,2/
Kew Gardens - Union Tpke,3.1941,2/
Sutphin Blvd - Archer Av,4.5315,2/
Court Sq - 23rd St,0.2331,3/
67th Ave,7.0776,1/
Grand Ave - Newtown,7.5222,1/
Ditmas Ave,2.7,1/
Classon Ave,2.1672,3/
Broadway,1.9674,1/
Lorimer St,0.8973,3/
Sutter Ave,2.8971,1/
Wilson Ave,5.3208,4/
Halsey St,4.7799,1/
Lorimer St,1.5588,1/
8th Ave,2.6757,4/
36th Ave,2.9448,1/
Broadway,4.6332,3/
Times Sq - 42nd St,0,2/
Grand Central - 42nd St,0.0675,1/
Park Pl,1.1862,2/
111th St,3.3687,1/
W 4th St - Washington Sq (Lower),0.1872,2/
51st St,0.1377,2/
86th St,2.0034,1/
233rd St,3.8898,2/
66th St - Lincoln Ctr,2.4741,2/
Hunts Point Ave,7.9551,2/
Canal St,0.2304,1/
Middletown Rd,3.2112,1/
23rd St,0.9072,2/
Court Sq,0.1251,2/
59th St - Columbus Circle,0.9297,2/
Hunters Point Ave,0.261,1/
23rd St,0.1881,1/
Houston St,0.2565,1/
104th St,2.4363,1/
Broad Channel,0.1206,1/
Ocean Pkwy,0.8109,1/
Vernon Blvd - Jackson Ave,0.6138,1/
68th St - Hunter College,0.5553,1/
Queensboro Plz,0.1917,1/
Rockaway Blvd,4.3407,1/
Union Sq - 14th St,0.2718,1/
Bedford - Nostrand Aves,2.3994,1/
15th St - Prospect Park,1.7955,1/
7th Ave,2.214,3/
Ft Hamilton Pkwy,1.6515,1/
Church Ave,3.618,2/
Beverly Rd,2.5542,1/
Church Ave,5.13,3/
Newkirk Ave,2.1033,1/
Parkside Ave,3.0978,1/
Grand Army Plaza,1.0197,1/
Atlantic Av - Barclay's Center,0.0693,2/
Rockaway Ave,2.7081,3/
Fulton St,0.9189,1/
Clinton - Washington Aves,2.2023,1/
7th Ave,0.5076,1/
Atlantic Av - Barclay's Center,0.1935,2/
Atlantic Av - Barclay's Center,1.2663,2/
Borough Hall,0.2556,3/
Aqueduct Racetrack,4.203,1/
Morris Park,5.6934,1/
Pelham Pkwy,5.4657,2/
Nostrand Ave,1.2546,3/
Nevins St,0.198,1/
Eastern Pkwy - Bklyn Museum,0.5175,1/
Beverly Rd,1.4832,1/
Church Ave,2.2707,2/
Newkirk Ave,1.8153,1/
Brooklyn College - Flatbush Ave,3.9123,2/
Sterling St,1.2294,1/
Crown Hts - Utica Ave,3.159,2/
Kingston Ave,1.8819,1/
Nassau Ave,1.9161,1/
Greenpoint Ave,2.5398,1/
Marcy Ave,8.7606,2/
Hewes St,2.5029,1/
138th St - Grand Concourse,1.5543,1/
5th Ave - 53rd St,0.0522,1/
Lexington Ave - 53rd St,1.1034,2/
28th St,0.1791,1/
Herald Sq - 34th St,0.0396,2/
1st Ave,8.4528,1/
Times Sq - 42nd St,0.0981,1/
Metropolitan Ave,1.8945,3/
Grand St,2.1951,3/
Graham Ave,2.115,1/
Bedford Ave,5.0274,1/
Montrose Ave,4.0176,1/
Long Island City - Court Sq,0.063,1/
21st St,0.3483,1/
39th Ave,0.6408,1/
145th St,7.7175,1/
157th St,10.9557,1/
96th St,5.2758,2/
103rd St,3.8943,1/
Central Park North (110th St),2.988,1/
103rd St,4.1445,1/
72nd St,1.5003,2/
81st St,0.4257,3/
75th Ave,1.2438,1/
86th St,1.7604,1/
Cathedral Pkwy (110th St),2.3535,1/
116th St - Columbia University,1.5651,1/
125th St,2.6433,1/
135th St,3.8511,2/
116th St,2.979,1/
Tremont Ave,13.6872,3/
137th St - City College,10.2699,3/
145th St,3.5865,1/
176th St,16.6977,1/
Burnside Ave,14.6304,3/
170th St,20.2671,1/
168th St,2.8692,3/
181st St,14.9274,1/
191st St,15.3909,1/
175th St,16.353,2/
Beach 44th St,1.5651,1/
Beach 60th St,1.5651,1/
Beach 98th St,1.242,1/
Rockaway Park - Beach 116 St,1.08,2/
Beach 36th St,1.3851,1/
Beach 25th St,4.7916,1/
Parsons Blvd,4.617,3/
169th St,5.2947,1/
103rd St - Corona Plaza,35.649,1/
111th St,22.4577,1/
63rd Dr - Rego Park,3.7458,1/
Grant Ave,3.9078,1/
79th St,1.3635,1/
Atlantic Ave,1.8648,1/
Christopher St - Sheridan Sq,0.7218,1/
Ozone Park - Lefferts Blvd,7.4394,2/
Times Sq - 42nd St,0,2/
W 8th St - NY Aquarium,0.1395,1/
28th St,0.4302,1/
28th St,2.2932,4/
Pelham Bay Park,4.6278,1/
Westchester Sq - E Tremont Ave,4.6854,1/
18th St,0.1845,1/
