Astor Pl,2250,3/
Canal St,94,2/
50th St,227,1/
Bergen St,1118,1/
Pennsylvania Ave,894,1/
238th St,6183,1/
Cathedral Pkwy (110th St),3192,1/
Kingston - Throop Aves,2735,1/
65th St,8767,1/
36th St,410,1/
Delancey St - Essex St,10403,3/
Van Siclen Ave,2500,1/
Norwood Ave,1845,3/
104th-102nd Sts,6745,1/
DeKalb Ave,3594,2/
Beach 105th St,301,1/
Beach 90th St,1405,1/
Freeman St,13982,1/
Intervale Ave,5943,1/
182nd-183rd Sts,13650,1/
174th-175th Sts,7360,1/
167th St,20582,3/
Mets - Willets Point,177,1/
Junction Blvd,18281,2/
Flushing - Main St,73805,2/
Buhre Ave,5732,1/
3rd Ave - 138th St,5699,3/
Castle Hill Ave,10208,1/
Brooklyn Bridge - City Hall,767,2/
Zerega Ave,6536,1/
Grand Central - 42nd St,230,2/
33rd St,5434,1/
96th St,4033,1/
77th St,3194,1/
Chauncey St,1061,1/
Union St,2825,1/
Elmhurst Ave,14321,1/
Ralph Ave,2120,1/
Pelham Pkwy,10130,2/
Gun Hill Rd,5609,2/
Nereid Ave (238 St),2444,1/
Franklin Ave,1125,1/
Simpson St,3506,2/
Bronx Park East,7434,1/
Winthrop St,1870,1/
Van Siclen Ave,1744,1/
149th St - Grand Concourse,1364,1/
161st St - Yankee Stadium,452,2/
Lexington Ave - 59th St,782,1/
E 149th St,5086,3/
Morrison Av - Soundview,10082,1/
Whitlock Ave,3322,1/
St Lawrence Ave,9372,1/
Woodside - 61st St,8374,2/
Far Rockaway - Mott Ave,3912,2/
72nd St,1012,1/
96th St,1492,3/
168th St,8105,2/
Kingsbridge Rd,15666,2/
42nd St - Bryant Pk,201,3/
Prospect Park,1031,1/
55th St,1438,1/
Jamaica - Van Wyck,7275,2/
Kew Gardens - Union Tpke,5828,2/
Sutphin Blvd - Archer Av,8774,2/
Court Sq - 23rd St,868,3/
67th Ave,16206,1/
Grand Ave - Newtown,24779,1/
Ditmas Ave,5776,1/
Classon Ave,2638,3/
Broadway,1845,1/
Lorimer St,1067,3/
Sutter Ave,1803,1/
Wilson Ave,3492,4/
Halsey St,3597,1/
Lorimer St,2040,1/
8th Ave,17044,4/
36th Ave,4579,1/
Broadway,7199,3/
Times Sq - 42nd St,15,2/
Grand Central - 42nd St,680,1/
Park Pl,1964,2/
111th St,10263,1/
W 4th St - Washington Sq (Lower),510,2/
51st St,601,2/
86th St,2259,1/
233rd St,4014,2/
66th St - Lincoln Ctr,3961,2/
Hunts Point Ave,7137,2/
Canal St,532,1/
Middletown Rd,2776,1/
23rd St,2314,2/
Court Sq,422,2/
59th St - Columbus Circle,1665,2/
Hunters Point Ave,1008,1/
23rd St,534,1/
Houston St,582,1/
104th St,6239,1/
Broad Channel,72,1/
Ocean Pkwy,1695,1/
Vernon Blvd - Jackson Ave,1988,1/
68th St - Hunter College,598,1/
Queensboro Plz,540,1/
Rockaway Blvd,5555,1/
Union Sq - 14th St,1063,1/
Bedford - Nostrand Aves,2698,1/
15th St - Prospect Park,2087,1/
7th Ave,2737,3/
Ft Hamilton Pkwy,2505,1/
Church Ave,8832,2/
Beverly Rd,3650,1/
Church Ave,4933,3/
Newkirk Ave,5065,1/
Parkside Ave,3397,1/
Grand Army Plaza,2169,1/
Atlantic Av - Barclay's Center,111,2/
Rockaway Ave,1994,3/
Fulton St,1460,1/
