Astor Pl,2.025,3/
Canal St,0.0846,2/
50th St,0.2043,1/
Bergen St,1.0062,1/
Pennsylvania Ave,0.8046,1/
238th St,5.5647,1/
Cathedral Pkwy (110th St),2.8728,1/
Kingston - Throop Aves,2.4615,1/
65th St,7.8903,1/
36th St,0.369,1/
Delancey St - Essex St,9.3627,3/
Van Siclen Ave,2.25,1/
Norwood Ave,1.6605,3/
104th-102nd Sts,6.0705,1/
DeKalb Ave,3.2346,2/
Beach 105th St,0.2709,1/
Beach 90th St,1.2645,1/
Freeman St,12.5838,1/
Intervale Ave,5.3487,1/
182nd-183rd Sts,12.285,1/
174th-175th Sts,6.624,1/
167th St,18.5238,3/
Mets - Willets Point,0.1593,1/
Junction Blvd,16.4529,2/
Flushing - Main St,66.4245,2/
Buhre Ave,5.1588,1/
3rd Ave - 138th St,5.1291,3/
Castle Hill Ave,9.1872,1/
Brooklyn Bridge - City Hall,0.6903,2/
Zerega Ave,5.8824,1/
Grand Central - 42nd St,0.207,2/
33rd St,4.8906,1/
96th St,3.6297,1/
77th St,2.8746,1/
Chauncey St,0.9549,1/
Union St,2.5425,1/
Elmhurst Ave,12.8889,1/
Ralph Ave,1.908,1/
Pelham Pkwy,9.117,2/
Gun Hill Rd,5.0481,2/
Nereid Ave (238 St),2.1996,1/
Franklin Ave,1.0125,1/
Simpson St,3.1554,2/
Bronx Park East,6.6906,1/
Winthrop St,1.683,1/
Van Siclen Ave,1.5696,1/
149th St - Grand Concourse,1.2276,1/
161st St - Yankee Stadium,0.4068,2/
Lexington Ave - 59th St,0.7038,1/
E 149th St,4.5774,3/
Morrison Av - Soundview,9.0738,1/
Whitlock Ave,2.9898,1/
St Lawrence Ave,8.4348,1/
Woodside - 61st St,7.5366,2/
Far Rockaway - Mott Ave,3.5208,2/
72nd St,0.9108,1/
96th St,1.3428,3/
168th St,7.2945,2/
Kingsbridge Rd,14.0994,2/
42nd St - Bryant Pk,0.1809,3/
Prospect Park,0.9279,1/
55th St,1.2942,1/
Jamaica - Van Wyck,6.5475,2/
Kew Gardens - Union Tpke,5.2452,2/
Sutphin Blvd - Archer Av,7.8966,2/
Court Sq - 23rd St,0.7812,3/
67th Ave,14.5854,1/
Grand Ave - Newtown,22.3011,1/
Ditmas Ave,5.1984,1/
Classon Ave,2.3742,3/
Broadway,1.6605,1/
Lorimer St,0.9603,3/
Sutter Ave,1.6227,1/
Wilson Ave,3.1428,4/
Halsey St,3.2373,1/
Lorimer St,1.836,1/
8th Ave,15.3396,4/
36th Ave,4.1211,1/
Broadway,6.4791,3/
Times Sq - 42nd St,0.0135,2/
Grand Central - 42nd St,0.612,1/
Park Pl,1.7676,2/
111th St,9.2367,1/
W 4th St - Washington Sq (Lower),0.459,2/
51st St,0.5409,2/
86th St,2.0331,1/
233rd St,3.6126,2/
66th St - Lincoln Ctr,3.5649,2/
Hunts Point Ave,6.4233,2/
Canal St,0.4788,1/
Middletown Rd,2.4984,1/
23rd St,2.0826,2/
Court Sq,0.3798,2/
59th St - Columbus Circle,1.4985,2/
Hunters Point Ave,0.9072,1/
23rd St,0.4806,1/
Houston St,0.5238,1/
104th St,5.6151,1/
Broad Channel,0.0648,1/
Ocean Pkwy,1.5255,1/
Vernon Blvd - Jackson Ave,1.7892,1/
68th St - Hunter College,0.5382,1/
Queensboro Plz,0.486,1/
Rockaway Blvd,4.9995,1/
Union Sq - 14th St,0.9567,1/
Bedford - Nostrand Aves,2.4282,1/
15th St - Prospect Park,1.8783,1/
7th Ave,2.4633,3/
Ft Hamilton Pkwy,2.2545,1/
Church Ave,7.9488,2/
Beverly Rd,3.285,1/
Church Ave,4.4397,3/
Newkirk Ave,4.5585,1/
Parkside Ave,3.0573,1/
Grand Army Plaza,1.9521,1/
Atlantic Av - Barclay's Center,0.0999,2/
Rockaway Ave,1.7946,3/
Fulton St,1.314,1/
Clinton - Washington Aves,2.5533,1/
7th Ave,0.9738,1/
Atlantic Av - Barclay's Center,0.2736,2/
Atlantic Av - Barclay's Center,1.449,2/
Borough Hall,0.5634,3/
Aqueduct Racetrack,3.2067,1/
Morris Park,5.985,1/
Pelham Pkwy,5.8644,2/
Nostrand Ave,1.5876,3/
Nevins St,0.4617,1/
Eastern Pkwy - Bklyn Museum,0.8127,1/
Beverly Rd,1.4193,1/
Church Ave,2.1294,2/
Newkirk Ave,1.9935,1/
Brooklyn College - Flatbush Ave,5.8572,2/
Sterling St,1.1763,1/
Crown Hts - Utica Ave,2.9493,2/
Kingston Ave,1.7082,1/
Nassau Ave,1.9269,1/
Greenpoint Ave,2.3742,1/
Marcy Ave,5.8185,2/
Hewes St,1.6749,1/
138th St - Grand Concourse,1.233,1/
5th Ave - 53rd St,0.1431,1/
Lexington Ave - 53rd St,3.3336,2/
28th St,0.8145,1/
Herald Sq - 34th St,0.36,2/
1st Ave,11.0709,1/
Times Sq - 42nd St,0.0423,1/
Metropolitan Ave,1.3149,3/
Grand St,1.5786,3/
Graham Ave,2.3283,1/
Bedford Ave,4.6233,1/
Montrose Ave,2.6316,1/
Long Island City - Court Sq,0.2619,1/
21st St,0.8334,1/
39th Ave,1.035,1/
145th St,6.3711,1/
157th St,8.3637,1/
96th St,4.8474,2/
103rd St,3.5856,1/
Central Park North (110th St),2.4651,1/
103rd St,3.3453,1/
72nd St,3.7278,2/
81st St,0.8145,3/
75th Ave,3.3867,1/
86th St,2.0214,1/
Cathedral Pkwy (110th St),2.9421,1/
116th St - Columbia University,3.015,1/
125th St,2.4939,1/
135th St,3.4326,2/
116th St,2.7684,1/
Tremont Ave,9.0054,3/
137th St - City College,7.7256,3/
145th St,2.7981,1/
176th St,13.9167,1/
Burnside Ave,12.3921,3/
170th St,15.9696,1/
168th St,2.1807,3/
181st St,11.0115,1/
191st St,11.7405,1/
175th St,12.2463,2/
Beach 44th St,0.8703,1/
Beach 60th St,1.1367,1/
Beach 98th St,0.7623,1/
Rockaway Park - Beach 116 St,1.2051,2/
Beach 36th St,0.6903,1/
Beach 25th St,2.8188,1/
Parsons Blvd,10.3014,3/
169th St,15.6438,1/
103rd St - Corona Plaza,25.3332,1/
111th St,13.7817,1/
63rd Dr - Rego Park,9.6435,1/
Grant Ave,3.5559,1/
79th St,2.4147,1/
Atlantic Ave,1.1484,1/
Christopher St - Sheridan Sq,1.0863,1/
Ozone Park - Lefferts Blvd,29.6361,2/
Times Sq - 42nd St,0.0009,2/
W 8th St - NY Aquarium,0.0585,1/
28th St,0.7074,1/
28th St,4.1877,4/
Pelham Bay Park,3.9519,1/
Westchester Sq - E Tremont Ave,5.2677,1/
18th St,0.1665,1/
Grand Central - 42nd St,5.2146,2/
Beach 67th St,1.656,4/
W 4th St - Washington Sq (Upper),0.7704,2/
85th St - Forest Pky,6.6402,1/
Woodhaven Blvd,7.5717,1/
111th St,6.7887,1/
121st St,9.2826,1/
Halsey St,3.9087,1/
Myrtle - Wyckoff Aves,3.6954,2/
New Lots Ave,2.3814,4/
Van Siclen Ave,1.8603,1/
Cleveland St,2.6316,1/
Livonia Ave,0.2259,1/
Junius St,0.6993,4/
Rockaway Ave,1.7982,1/
Canarsie - Rockaway Pkwy,2.7,2/
E 105th St,1.3842,1/
Saratoga Ave,2.6235,1/
Sutter Ave - Rutland Road,2.5614,1/
New Lots Ave,0.7416,1/
Broadway Junction,0.3402,4/
Alabama Ave,0.8811,1/
Shepherd Ave,1.9926,1/
Crescent St,3.6558,1/
Cypress Hills,1.2798,1/
75th St - Eldert Ln,5.0238,1/
69th St,8.6751,1/
74th St - Broadway,8.9865,2/
Woodhaven Blvd - Queens Mall,20.3751,4/
Myrtle - Wyckoff Aves,2.1798,2/
Seneca Ave,2.7792,1/
DeKalb Ave,5.5989,1/
52nd St,4.8411,1/
46th St,3.7062,1/
