Astor Pl,1195,3/
Canal St,31,2/
50th St,110,1/
Bergen St,507,1/
Pennsylvania Ave,948,1/
238th St,3878,1/
Cathedral Pkwy (110th St),1514,1/
Kingston - Throop Aves,2927,1/
65th St,2189,1/
36th St,83,1/
Delancey St - Essex St,4122,3/
Van Siclen Ave,793,1/
Norwood Ave,609,3/
104th-102nd Sts,1319,1/
DeKalb Ave,1081,2/
Beach 105th St,696,1/
Beach 90th St,1014,1/
Freeman St,2552,1/
Intervale Ave,1237,1/
182nd-183rd Sts,2000,1/
174th-175th Sts,1169,1/
167th St,4215,3/
Mets - Willets Point,28,1/
Junction Blvd,2934,2/
Flushing - Main St,16722,2/
Buhre Ave,3282,1/
3rd Ave - 138th St,1150,3/
Castle Hill Ave,2512,1/
Brooklyn Bridge - City Hall,399,2/
Zerega Ave,1670,1/
Grand Central - 42nd St,197,2/
33rd St,2527,1/
96th St,3402,1/
77th St,6012,1/
Chauncey St,663,1/
Union St,1112,1/
Elmhurst Ave,2633,1/
Ralph Ave,1927,1/
Pelham Pkwy,2445,2/
Gun Hill Rd,2237,2/
Nereid Ave (238 St),1731,1/
Franklin Ave,1158,1/
Simpson St,713,2/
Bronx Park East,1500,1/
Winthrop St,3034,1/
Van Siclen Ave,1567,1/
149th St - Grand Concourse,349,1/
161st St - Yankee Stadium,76,2/
Lexington Ave - 59th St,946,1/
E 149th St,691,3/
Morrison Av - Soundview,2178,1/
Whitlock Ave,496,1/
St Lawrence Ave,2947,1/
Woodside - 61st St,2746,2/
Far Rockaway - Mott Ave,2609,2/
72nd St,1303,1/
96th St,2390,3/
168th St,1920,2/
Kingsbridge Rd,2027,2/
42nd St - Bryant Pk,48,3/
Prospect Park,1228,1/
55th St,2129,1/
Jamaica - Van Wyck,1383,2/
Kew Gardens - Union Tpke,2928,2/
Sutphin Blvd - Archer Av,1486,2/
Court Sq - 23rd St,83,3/
67th Ave,8768,1/
Grand Ave - Newtown,4162,1/
Ditmas Ave,2372,1/
Classon Ave,1542,3/
Broadway,801,1/
Lorimer St,462,3/
Sutter Ave,811,1/
Wilson Ave,1132,4/
Halsey St,1977,1/
Lorimer St,816,1/
8th Ave,2235,4/
36th Ave,1115,1/
Broadway,3027,3/
Times Sq - 42nd St,2,2/
Grand Central - 42nd St,363,1/
Park Pl,1372,2/
111th St,1667,1/
W 4th St - Washington Sq (Lower),472,2/
51st St,480,2/
86th St,3872,1/
233rd St,3314,2/
66th St - Lincoln Ctr,4381,2/
Hunts Point Ave,1393,2/
Canal St,623,1/
Middletown Rd,1060,1/
23rd St,1511,2/
Court Sq,43,2/
59th St - Columbus Circle,1022,2/
Hunters Point Ave,111,1/
23rd St,199,1/
Houston St,569,1/
104th St,1256,1/
Broad Channel,128,1/
Ocean Pkwy,3452,1/
Vernon Blvd - Jackson Ave,273,1/
68th St - Hunter College,3127,1/
Queensboro Plz,47,1/
Rockaway Blvd,920,1/
Union Sq - 14th St,428,1/
Bedford - Nostrand Aves,1932,1/
15th St - Prospect Park,1527,1/
7th Ave,2278,3/
Ft Hamilton Pkwy,1552,1/
Church Ave,2672,2/
Beverly Rd,1677,1/
Church Ave,2135,3/
Newkirk Ave,2215,1/
Parkside Ave,2425,1/
Grand Army Plaza,1538,1/
Atlantic Av - Barclay's Center,57,2/
Rockaway Ave,1740,3/
Fulton St,866,1/
Clinton - Washington Aves,1802,1/
7th Ave,845,1/
Atlantic Av - Barclay's Center,166,2/
Atlantic Av - Barclay's Center,670,2/
Borough Hall,262,3/
Aqueduct Racetrack,2039,1/
Morris Park,2635,1/
Pelham Pkwy,3093,2/
Nostrand Ave,1560,3/
Nevins St,161,1/
Eastern Pkwy - Bklyn Museum,802,1/
Beverly Rd,2700,1/
Church Ave,3965,2/
Newkirk Ave,4234,1/
Brooklyn College - Flatbush Ave,6987,2/
Sterling St,2195,1/
Crown Hts - Utica Ave,3795,2/
Kingston Ave,3368,1/
Nassau Ave,1882,1/
Greenpoint Ave,1767,1/
Marcy Ave,3700,2/
Hewes St,890,1/
138th St - Grand Concourse,245,1/
5th Ave - 53rd St,164,1/
Lexington Ave - 53rd St,6935,2/
28th St,264,1/
Herald Sq - 34th St,72,2/
1st Ave,7460,1/
Times Sq - 42nd St,129,1/
Metropolitan Ave,571,3/
Grand St,779,3/
Graham Ave,1044,1/
Bedford Ave,1465,1/
Montrose Ave,1277,1/
Long Island City - Court Sq,15,1/
21st St,150,1/
39th Ave,172,1/
145th St,1873,1/
157th St,3101,1/
96th St,6699,2/
103rd St,3992,1/
Central Park North (110th St),1226,1/
103rd St,2184,1/
72nd St,6459,2/
81st St,1308,3/
75th Ave,1787,1/
86th St,2414,1/
Cathedral Pkwy (110th St),2204,1/
116th St - Columbia University,1275,1/
125th St,1385,1/
135th St,3225,2/
116th St,1569,1/
Tremont Ave,2080,3/
137th St - City College,2440,3/
145th St,1810,1/
176th St,2442,1/
Burnside Ave,1863,3/
170th St,2817,1/
168th St,558,3/
181st St,2715,1/
191st St,4014,1/
175th St,3528,2/
Beach 44th St,700,1/
Beach 60th St,805,1/
Beach 98th St,346,1/
Rockaway Park - Beach 116 St,2453,2/
Beach 36th St,802,1/
Beach 25th St,3379,1/
Parsons Blvd,2013,3/
169th St,3006,1/
103rd St - Corona Plaza,4116,1/
111th St,2595,1/
63rd Dr - Rego Park,6028,1/
Grant Ave,1696,1/
79th St,3930,1/
Atlantic Ave,443,1/
Christopher St - Sheridan Sq,1655,1/
Ozone Park - Lefferts Blvd,5379,2/
Times Sq - 42nd St,0,2/
W 8th St - NY Aquarium,1029,1/
28th St,553,1/
28th St,3488,4/
Pelham Bay Park,2891,1/
Westchester Sq - E Tremont Ave,1109,1/
18th St,185,1/
Grand Central - 42nd St,4311,2/
Beach 67th St,1347,4/
