Astor Pl,2.151,3/
Canal St,0.0558,2/
50th St,0.198,1/
Bergen St,0.9126,1/
Pennsylvania Ave,1.7064,1/
238th St,6.9804,1/
Cathedral Pkwy (110th St),2.7252,1/
Kingston - Throop Aves,5.2686,1/
65th St,3.9402,1/
36th St,0.1494,1/
Delancey St - Essex St,7.4196,3/
Van Siclen Ave,1.4274,1/
Norwood Ave,1.0962,3/
104th-102nd Sts,2.3742,1/
DeKalb Ave,1.9458,2/
Beach 105th St,1.2528,1/
Beach 90th St,1.8252,1/
Freeman St,4.5936,1/
Intervale Ave,2.2266,1/
182nd-183rd Sts,3.6,1/
174th-175th Sts,2.1042,1/
167th St,7.587,3/
Mets - Willets Point,0.0504,1/
Junction Blvd,5.2812,2/
Flushing - Main St,30.0996,2/
Buhre Ave,5.9076,1/
3rd Ave - 138th St,2.07,3/
Castle Hill Ave,4.5216,1/
Brooklyn Bridge - City Hall,0.7182,2/
Zerega Ave,3.006,1/
Grand Central - 42nd St,0.3546,2/
33rd St,4.5486,1/
96th St,6.1236,1/
77th St,10.8216,1/
Chauncey St,1.1934,1/
Union St,2.0016,1/
Elmhurst Ave,4.7394,1/
Ralph Ave,3.4686,1/
Pelham Pkwy,4.401,2/
Gun Hill Rd,4.0266,2/
Nereid Ave (238 St),3.1158,1/
Franklin Ave,2.0844,1/
Simpson St,1.2834,2/
Bronx Park East,2.7,1/
Winthrop St,5.4612,1/
Van Siclen Ave,2.8206,1/
149th St - Grand Concourse,0.6282,1/
161st St - Yankee Stadium,0.1368,2/
Lexington Ave - 59th St,1.7028,1/
E 149th St,1.2438,3/
Morrison Av - Soundview,3.9204,1/
Whitlock Ave,0.8928,1/
St Lawrence Ave,5.3046,1/
Woodside - 61st St,4.9428,2/
Far Rockaway - Mott Ave,4.6962,2/
72nd St,2.3454,1/
96th St,4.302,3/
168th St,3.456,2/
Kingsbridge Rd,3.6486,2/
42nd St - Bryant Pk,0.0864,3/
Prospect Park,2.2104,1/
55th St,3.8322,1/
Jamaica - Van Wyck,2.4894,2/
Kew Gardens - Union Tpke,5.2704,2/
Sutphin Blvd - Archer Av,2.6748,2/
Court Sq - 23rd St,0.1494,3/
67th Ave,15.7824,1/
Grand Ave - Newtown,7.4916,1/
Ditmas Ave,4.2696,1/
Classon Ave,2.7756,3/
Broadway,1.4418,1/
Lorimer St,0.8316,3/
Sutter Ave,1.4598,1/
Wilson Ave,2.0376,4/
Halsey St,3.5586,1/
Lorimer St,1.4688,1/
8th Ave,4.023,4/
36th Ave,2.007,1/
Broadway,5.4486,3/
Times Sq - 42nd St,0.0036,2/
Grand Central - 42nd St,0.6534,1/
Park Pl,2.4696,2/
111th St,3.0006,1/
W 4th St - Washington Sq (Lower),0.8496,2/
51st St,0.864,2/
86th St,6.9696,1/
233rd St,5.9652,2/
66th St - Lincoln Ctr,7.8858,2/
Hunts Point Ave,2.5074,2/
Canal St,1.1214,1/
Middletown Rd,1.908,1/
23rd St,2.7198,2/
Court Sq,0.0774,2/
59th St - Columbus Circle,1.8396,2/
Hunters Point Ave,0.1998,1/
23rd St,0.3582,1/
Houston St,1.0242,1/
104th St,2.2608,1/
Broad Channel,0.2304,1/
Ocean Pkwy,6.2136,1/
Vernon Blvd - Jackson Ave,0.4914,1/
68th St - Hunter College,5.6286,1/
Queensboro Plz,0.0846,1/
Rockaway Blvd,1.656,1/
Union Sq - 14th St,0.7704,1/
Bedford - Nostrand Aves,3.4776,1/
15th St - Prospect Park,2.7486,1/
7th Ave,4.1004,3/
Ft Hamilton Pkwy,2.7936,1/
Church Ave,4.8096,2/
Beverly Rd,3.0186,1/
Church Ave,3.843,3/
Newkirk Ave,3.987,1/
Parkside Ave,4.365,1/
Grand Army Plaza,2.7684,1/
Atlantic Av - Barclay's Center,0.1026,2/
Rockaway Ave,3.132,3/
Fulton St,1.5588,1/
Clinton - Washington Aves,3.2436,1/
7th Ave,1.521,1/
Atlantic Av - Barclay's Center,0.2988,2/
Atlantic Av - Barclay's Center,1.206,2/
Borough Hall,0.4716,3/
Aqueduct Racetrack,3.6702,1/
Morris Park,4.743,1/
Pelham Pkwy,5.5674,2/
Nostrand Ave,2.808,3/
Nevins St,0.2898,1/
Eastern Pkwy - Bklyn Museum,1.4436,1/
Beverly Rd,4.86,1/
Church Ave,7.137,2/
Newkirk Ave,7.6212,1/
Brooklyn College - Flatbush Ave,12.5766,2/
Sterling St,3.951,1/
Crown Hts - Utica Ave,6.831,2/
Kingston Ave,6.0624,1/
Nassau Ave,3.3876,1/
Greenpoint Ave,3.1806,1/
Marcy Ave,6.66,2/
Hewes St,1.602,1/
138th St - Grand Concourse,0.441,1/
5th Ave - 53rd St,0.2952,1/
Lexington Ave - 53rd St,12.483,2/
28th St,0.4752,1/
Herald Sq - 34th St,0.1296,2/
1st Ave,13.428,1/
Times Sq - 42nd St,0.2322,1/
Metropolitan Ave,1.0278,3/
Grand St,1.4022,3/
Graham Ave,1.8792,1/
Bedford Ave,2.637,1/
Montrose Ave,2.2986,1/
Long Island City - Court Sq,0.027,1/
21st St,0.27,1/
39th Ave,0.3096,1/
145th St,3.3714,1/
157th St,5.5818,1/
96th St,12.0582,2/
103rd St,7.1856,1/
Central Park North (110th St),2.2068,1/
103rd St,3.9312,1/
72nd St,11.6262,2/
81st St,2.3544,3/
75th Ave,3.2166,1/
86th St,4.3452,1/
Cathedral Pkwy (110th St),3.9672,1/
116th St - Columbia University,2.295,1/
125th St,2.493,1/
135th St,5.805,2/
116th St,2.8242,1/
Tremont Ave,3.744,3/
137th St - City College,4.392,3/
145th St,3.258,1/
176th St,4.3956,1/
Burnside Ave,3.3534,3/
170th St,5.0706,1/
168th St,1.0044,3/
181st St,4.887,1/
191st St,7.2252,1/
175th St,6.3504,2/
Beach 44th St,1.26,1/
Beach 60th St,1.449,1/
Beach 98th St,0.6228,1/
Rockaway Park - Beach 116 St,4.4154,2/
Beach 36th St,1.4436,1/
Beach 25th St,6.0822,1/
Parsons Blvd,3.6234,3/
169th St,5.4108,1/
103rd St - Corona Plaza,7.4088,1/
111th St,4.671,1/
63rd Dr - Rego Park,10.8504,1/
Grant Ave,3.0528,1/
79th St,7.074,1/
Atlantic Ave,0.7974,1/
Christopher St - Sheridan Sq,2.979,1/
Ozone Park - Lefferts Blvd,9.6822,2/
Times Sq - 42nd St,0,2/
