Astor Pl,11060,3/
Canal St,302,2/
50th St,781,1/
Bergen St,5634,1/
Pennsylvania Ave,8970,1/
238th St,18625,1/
Cathedral Pkwy (110th St),10063,1/
Kingston - Throop Aves,24803,1/
65th St,14541,1/
36th St,728,1/
Delancey St - Essex St,20859,3/
Van Siclen Ave,6931,1/
Norwood Ave,7321,3/
104th-102nd Sts,12153,1/
DeKalb Ave,11295,2/
Beach 105th St,2420,1/
Beach 90th St,7489,1/
Freeman St,29793,1/
Intervale Ave,12873,1/
182nd-183rd Sts,25481,1/
174th-175th Sts,16428,1/
167th St,42232,3/
Mets - Willets Point,212,1/
Junction Blvd,30361,2/
Flushing - Main St,88530,2/
Buhre Ave,18086,1/
3rd Ave - 138th St,10711,3/
Castle Hill Ave,22193,1/
Brooklyn Bridge - City Hall,1828,2/
Zerega Ave,12708,1/
Grand Central - 42nd St,999,2/
33rd St,22340,1/
96th St,20229,1/
77th St,25162,1/
Chauncey St,6773,1/
Union St,12525,1/
Elmhurst Ave,18532,1/
Ralph Ave,17803,1/
Pelham Pkwy,20804,2/
Gun Hill Rd,19466,2/
Nereid Ave (238 St),11917,1/
Franklin Ave,9759,1/
Simpson St,6041,2/
Bronx Park East,13909,1/
Winthrop St,18976,1/
Van Siclen Ave,12594,1/
149th St - Grand Concourse,2884,1/
161st St - Yankee Stadium,958,2/
Lexington Ave - 59th St,4762,1/
E 149th St,8789,3/
Morrison Av - Soundview,21334,1/
Whitlock Ave,5660,1/
St Lawrence Ave,22963,1/
Woodside - 61st St,16401,2/
Far Rockaway - Mott Ave,24742,2/
72nd St,7135,1/
96th St,9691,3/
168th St,14951,2/
Kingsbridge Rd,23661,2/
42nd St - Bryant Pk,511,3/
Prospect Park,9593,1/
55th St,16188,1/
Jamaica - Van Wyck,11034,2/
Kew Gardens - Union Tpke,17235,2/
Sutphin Blvd - Archer Av,15346,2/
Court Sq - 23rd St,2222,3/
67th Ave,43985,1/
Grand Ave - Newtown,32158,1/
Ditmas Ave,21065,1/
Classon Ave,16412,3/
Broadway,7291,1/
Lorimer St,4957,3/
Sutter Ave,9892,1/
Wilson Ave,10767,4/
Halsey St,17714,1/
Lorimer St,6449,1/
8th Ave,20363,4/
36th Ave,10178,1/
Broadway,20354,3/
Times Sq - 42nd St,25,2/
Grand Central - 42nd St,2134,1/
Park Pl,11488,2/
111th St,14671,1/
W 4th St - Washington Sq (Lower),3208,2/
51st St,2998,2/
86th St,20221,1/
233rd St,22094,2/
66th St - Lincoln Ctr,18430,2/
Hunts Point Ave,13377,2/
Canal St,4113,1/
Middletown Rd,6747,1/
23rd St,11483,2/
Court Sq,985,2/
59th St - Columbus Circle,6096,2/
Hunters Point Ave,3102,1/
