Astor Pl,2.9862,3/
Canal St,0.08154,2/
50th St,0.21087,1/
Bergen St,1.52118,1/
Pennsylvania Ave,2.4219,1/
238th St,5.02875,1/
Cathedral Pkwy (110th St),2.71701,1/
Kingston - Throop Aves,6.69681,1/
65th St,3.92607,1/
36th St,0.19656,1/
Delancey St - Essex St,5.63193,3/
Van Siclen Ave,1.87137,1/
Norwood Ave,1.97667,3/
104th-102nd Sts,3.28131,1/
DeKalb Ave,3.04965,2/
Beach 105th St,0.6534,1/
Beach 90th St,2.02203,1/
Freeman St,8.04411,1/
Intervale Ave,3.47571,1/
182nd-183rd Sts,6.87987,1/
174th-175th Sts,4.43556,1/
167th St,11.40264,3/
Mets - Willets Point,0.05724,1/
Junction Blvd,8.19747,2/
Flushing - Main St,23.9031,2/
Buhre Ave,4.88322,1/
3rd Ave - 138th St,2.89197,3/
Castle Hill Ave,5.99211,1/
Brooklyn Bridge - City Hall,0.49356,2/
Zerega Ave,3.43116,1/
Grand Central - 42nd St,0.26973,2/
33rd St,6.0318,1/
96th St,5.46183,1/
77th St,6.79374,1/
Chauncey St,1.82871,1/
Union St,3.38175,1/
Elmhurst Ave,5.00364,1/
Ralph Ave,4.80681,1/
Pelham Pkwy,5.61708,2/
Gun Hill Rd,5.25582,2/
Nereid Ave (238 St),3.21759,1/
Franklin Ave,2.63493,1/
Simpson St,1.63107,2/
Bronx Park East,3.75543,1/
Winthrop St,5.12352,1/
Van Siclen Ave,3.40038,1/
149th St - Grand Concourse,0.77868,1/
161st St - Yankee Stadium,0.25866,2/
Lexington Ave - 59th St,1.28574,1/
E 149th St,2.37303,3/
Morrison Av - Soundview,5.76018,1/
Whitlock Ave,1.5282,1/
St Lawrence Ave,6.20001,1/
Woodside - 61st St,4.42827,2/
Far Rockaway - Mott Ave,6.68034,2/
72nd St,1.92645,1/
96th St,2.61657,3/
168th St,4.03677,2/
Kingsbridge Rd,6.38847,2/
42nd St - Bryant Pk,0.13797,3/
Prospect Park,2.59011,1/
55th St,4.37076,1/
Jamaica - Van Wyck,2.97918,2/
Kew Gardens - Union Tpke,4.65345,2/
Sutphin Blvd - Archer Av,4.14342,2/
Court Sq - 23rd St,0.59994,3/
67th Ave,11.87595,1/
Grand Ave - Newtown,8.68266,1/
Ditmas Ave,5.68755,1/
Classon Ave,4.43124,3/
Broadway,1.96857,1/
Lorimer St,1.33839,3/
Sutter Ave,2.67084,1/
Wilson Ave,2.90709,4/
Halsey St,4.78278,1/
Lorimer St,1.74123,1/
8th Ave,5.49801,4/
36th Ave,2.74806,1/
Broadway,5.49558,3/
Times Sq - 42nd St,0.00675,2/
Grand Central - 42nd St,0.57618,1/
Park Pl,3.10176,2/
111th St,3.96117,1/
W 4th St - Washington Sq (Lower),0.86616,2/
51st St,0.80946,2/
86th St,5.45967,1/
233rd St,5.96538,2/
66th St - Lincoln Ctr,4.9761,2/
Hunts Point Ave,3.61179,2/
Canal St,1.11051,1/
Middletown Rd,1.82169,1/
23rd St,3.10041,2/
Court Sq,0.26595,2/
59th St - Columbus Circle,1.64592,2/
Hunters Point Ave,0.83754,1/
23rd St,0.72603,1/
Houston St,1.1799,1/
104th St,2.49453,1/
Broad Channel,0.34749,1/
Ocean Pkwy,2.8971,1/
Vernon Blvd - Jackson Ave,1.59246,1/
68th St - Hunter College,2.37654,1/
Queensboro Plz,0.27945,1/
Rockaway Blvd,2.64897,1/
Union Sq - 14th St,1.36539,1/
Bedford - Nostrand Aves,4.62672,1/
15th St - Prospect Park,3.63717,1/
7th Ave,5.17482,3/
Ft Hamilton Pkwy,3.20355,1/
Church Ave,5.58387,2/
Beverly Rd,3.97494,1/
Church Ave,5.92515,3/
Newkirk Ave,4.40181,1/
Parkside Ave,5.69754,1/
Grand Army Plaza,3.53916,1/
Atlantic Av - Barclay's Center,0.13554,2/
Rockaway Ave,4.16583,3/
Fulton St,1.99773,1/
Clinton - Washington Aves,4.70151,1/
7th Ave,1.77984,1/
Atlantic Av - Barclay's Center,0.41175,2/
Atlantic Av - Barclay's Center,1.89243,2/
Borough Hall,0.91341,3/
Aqueduct Racetrack,3.00915,1/
Morris Park,4.33296,1/
Pelham Pkwy,4.64508,2/
Nostrand Ave,3.87747,3/
Nevins St,0.63423,1/
Eastern Pkwy - Bklyn Museum,1.56411,1/
Beverly Rd,4.44204,1/
Church Ave,7.67826,2/
Newkirk Ave,7.52787,1/
Brooklyn College - Flatbush Ave,13.69143,2/
Sterling St,4.67775,1/
Crown Hts - Utica Ave,8.69886,2/
Kingston Ave,6.45084,1/
Nassau Ave,5.19237,1/
Greenpoint Ave,4.11642,1/
Marcy Ave,10.6974,2/
Hewes St,2.62737,1/
138th St - Grand Concourse,0.67878,1/
5th Ave - 53rd St,0.16335,1/
Lexington Ave - 53rd St,6.63255,2/
28th St,0.75735,1/
Herald Sq - 34th St,0.22464,2/
1st Ave,13.70034,1/
Times Sq - 42nd St,0.11394,1/
Metropolitan Ave,1.63026,3/
Grand St,1.85679,3/
Graham Ave,3.40416,1/
Bedford Ave,6.1101,1/
Montrose Ave,2.48778,1/
Long Island City - Court Sq,0.18414,1/
21st St,0.63693,1/
39th Ave,0.5265,1/
145th St,4.6143,1/
157th St,5.56578,1/
96th St,8.27307,2/
103rd St,5.28363,1/
Central Park North (110th St),3.01725,1/
103rd St,3.00024,1/
72nd St,7.92882,2/
81st St,1.8603,3/
75th Ave,2.61495,1/
86th St,3.30696,1/
Cathedral Pkwy (110th St),3.32181,1/
116th St - Columbia University,3.60342,1/
125th St,3.92094,1/
135th St,6.09417,2/
116th St,3.70818,1/
Tremont Ave,5.63814,3/
137th St - City College,5.11596,3/
145th St,4.32729,1/
176th St,7.69311,1/
Burnside Ave,6.17382,3/
170th St,9.04959,1/
168th St,1.23012,3/
181st St,5.70537,1/
191st St,6.1155,1/
175th St,7.02405,2/
Beach 44th St,1.51524,1/
Beach 60th St,1.81305,1/
Beach 98th St,0.95418,1/
Rockaway Park - Beach 116 St,2.99349,2/
Beach 36th St,1.63323,1/
Beach 25th St,6.52266,1/
Parsons Blvd,4.68207,3/
169th St,6.79914,1/
103rd St - Corona Plaza,13.07637,1/
111th St,8.37351,1/
63rd Dr - Rego Park,7.3332,1/
Grant Ave,4.76604,1/
79th St,5.76774,1/
Atlantic Ave,1.782,1/
Christopher St - Sheridan Sq,3.03156,1/
Ozone Park - Lefferts Blvd,12.23235,2/
Times Sq - 42nd St,0.00054,2/
W 8th St - NY Aquarium,0.68472,1/
28th St,1.03383,1/
28th St,5.5431,4/
Pelham Bay Park,3.59721,1/
Westchester Sq - E Tremont Ave,2.7243,1/
18th St,0.38961,1/
Grand Central - 42nd St,6.11199,2/
Beach 67th St,3.07989,4/
W 4th St - Washington Sq (Upper),1.6578,2/
85th St - Forest Pky,3.77973,1/
Woodhaven Blvd,5.157,1/
111th St,3.89448,1/
121st St,6.0156,1/
Halsey St,4.46904,1/
Myrtle - Wyckoff Aves,2.73159,2/
New Lots Ave,6.15303,4/
Van Siclen Ave,2.17323,1/
Cleveland St,2.14245,1/
Livonia Ave,0.64584,1/
Junius St,1.31139,4/
Rockaway Ave,4.09347,1/
Canarsie - Rockaway Pkwy,9.16677,2/
E 105th St,5.01066,1/
Saratoga Ave,9.8145,1/
Sutter Ave - Rutland Road,9.22347,1/
New Lots Ave,2.54313,1/
Broadway Junction,0.35748,4/
Alabama Ave,0.648,1/
Shepherd Ave,3.27618,1/
Crescent St,3.36231,1/
Cypress Hills,1.3635,1/
75th St - Eldert Ln,3.26808,1/
69th St,4.5036,1/
74th St - Broadway,5.11002,2/
Woodhaven Blvd - Queens Mall,12.95838,4/
Myrtle - Wyckoff Aves,1.68723,2/
Seneca Ave,4.32513,1/
DeKalb Ave,3.98412,1/
52nd St,4.09914,1/
46th St,4.45446,1/
Northern Blvd,2.6001,4/
46th St,6.38334,4/
82nd St - Jackson Hts,9.37818,1/
90th St - Elmhurst Av,12.29013,1/
Howard Beach - JFK Airport,1.49391,2/
Aqueduct - North Conduit Av,2.40813,2/
Briarwood - Van Wyck Blvd,5.0652,4/
Forest Hills - 71st Av,6.27237,2/
Sutphin Blvd,3.86532,1/
Jamaica Ctr - Parsons / Archer,5.35221,2/
225th St,5.14242,1/
Elder Ave,6.68088,1/
Longwood Ave,3.0402,1/
Astoria Blvd,5.78232,1/
Astoria - Ditmars Blvd,9.39978,1/
Jackson Ave,3.80781,1/
Prospect Ave,5.67513,1/
Cypress Ave,2.16243,1/
174th St,5.10138,1/
Allerton Ave,5.50989,1/
E 143rd St - St Mary's St,1.60272,1/
Kingsbridge Rd,6.84153,4/
Bedford Park Blvd - Lehman College,1.04355,1/
Harlem - 148 St,2.62656,4/
