SUM_Pop_White,name,
7711,Astor Pl,3/
197,Canal St,2/
533,50th St,1/
3902,Bergen St,1/
793,Pennsylvania Ave,1/
9979,238th St,1/
3406,Cathedral Pkwy (110th St),1/
4235,Kingston - Throop Aves,1/
5474,65th St,1/
297,36th St,1/
8196,Delancey St - Essex St,3/
1987,Van Siclen Ave,1/
3203,Norwood Ave,3/
4698,104th-102nd Sts,1/
2871,DeKalb Ave,2/
1871,Beach 105th St,1/
4311,Beach 90th St,1/
2942,Freeman St,1/
1635,Intervale Ave,1/
2596,182nd-183rd Sts,1/
2286,174th-175th Sts,1/
4325,167th St,3/
15,Mets - Willets Point,1/
9812,Junction Blvd,2/
11265,Flushing - Main St,2/
11293,Buhre Ave,1/
1287,3rd Ave - 138th St,3/
5232,Castle Hill Ave,1/
861,Brooklyn Bridge - City Hall,2/
2795,Zerega Ave,1/
752,Grand Central - 42nd St,2/
15738,33rd St,1/
15135,96th St,1/
21541,77th St,1/
1279,Chauncey St,1/
8506,Union St,1/
3738,Elmhurst Ave,1/
1379,Ralph Ave,1/
6622,Pelham Pkwy,2/
2115,Gun Hill Rd,2/
2981,Nereid Ave (238 St),1/
1647,Franklin Ave,1/
992,Simpson St,2/
4070,Bronx Park East,1/
1914,Winthrop St,1/
998,Van Siclen Ave,1/
568,149th St - Grand Concourse,1/
146,161st St - Yankee Stadium,2/
3902,Lexington Ave - 59th St,1/
1161,E 149th St,3/
3529,Morrison Av - Soundview,1/
751,Whitlock Ave,1/
5454,St Lawrence Ave,1/
7764,Woodside - 61st St,2/
12217,Far Rockaway - Mott Ave,2/
5972,72nd St,1/
6756,96th St,3/
4969,168th St,2/
2882,Kingsbridge Rd,2/
254,42nd St - Bryant Pk,3/
2320,Prospect Park,1/
14668,55th St,1/
2737,Jamaica - Van Wyck,2/
10667,Kew Gardens - Union Tpke,2/
1305,Sutphin Blvd - Archer Av,2/
1282,Court Sq - 23rd St,3/
26562,67th Ave,1/
6952,Grand Ave - Newtown,1/
14433,Ditmas Ave,1/
7984,Classon Ave,3/
4733,Broadway,1/
3682,Lorimer St,3/
1108,Sutter Ave,1/
3390,Wilson Ave,4/
3716,Halsey St,1/
3463,Lorimer St,1/
3039,8th Ave,4/
4385,36th Ave,1/
12192,Broadway,3/
5,Times Sq - 42nd St,2/
1452,Grand Central - 42nd St,1/
4238,Park Pl,2/
2498,111th St,1/
2617,W 4th St - Washington Sq (Lower),2/
2334,51st St,2/
17310,86th St,1/
5025,233rd St,2/
13306,66th St - Lincoln Ctr,2/
1407,Hunts Point Ave,2/
3445,Canal St,1/
3424,Middletown Rd,1/
8708,23rd St,2/
544,Court Sq,2/
4011,59th St - Columbus Circle,2/
1942,Hunters Point Ave,1/
2006,23rd St,1/
3734,Houston St,1/
2140,104th St,1/
1191,Broad Channel,1/
8859,Ocean Pkwy,1/
3686,Vernon Blvd - Jackson Ave,1/
8059,68th St - Hunter College,1/
471,Queensboro Plz,1/
3746,Rockaway Blvd,1/
3846,Union Sq - 14th St,1/
6135,Bedford - Nostrand Aves,1/
11224,15th St - Prospect Park,1/
15564,7th Ave,3/
8451,Ft Hamilton Pkwy,1/
10910,Church Ave,2/
4658,Beverly Rd,1/
4826,Church Ave,3/
5704,Newkirk Ave,1/
4436,Parkside Ave,1/
9473,Grand Army Plaza,1/
295,Atlantic Av - Barclay's Center,2/
870,Rockaway Ave,3/
3544,Fulton St,1/
9011,Clinton - Washington Aves,1/
4940,7th Ave,1/
820,Atlantic Av - Barclay's Center,2/
3626,Atlantic Av - Barclay's Center,2/
2517,Borough Hall,3/
7090,Aqueduct Racetrack,1/
7715,Morris Park,1/
7857,Pelham Pkwy,2/
4036,Nostrand Ave,3/
1428,Nevins St,1/
2586,Eastern Pkwy - Bklyn Museum,1/
1145,Beverly Rd,1/
1497,Church Ave,2/
1009,Newkirk Ave,1/
10865,Brooklyn College - Flatbush Ave,2/
5945,Sterling St,1/
5310,Crown Hts - Utica Ave,2/
8687,Kingston Ave,1/
16272,Nassau Ave,1/
12128,Greenpoint Ave,1/
30402,Marcy Ave,2/
7492,Hewes St,1/
292,138th St - Grand Concourse,1/
434,5th Ave - 53rd St,1/
20538,Lexington Ave - 53rd St,2/
1833,28th St,1/
393,Herald Sq - 34th St,2/
34493,1st Ave,1/
