Astor Pl,13.8798,3/
Canal St,0.3546,2/
50th St,0.9594,1/
Bergen St,7.0236,1/
Pennsylvania Ave,1.4274,1/
238th St,17.9622,1/
Cathedral Pkwy (110th St),6.1308,1/
Kingston - Throop Aves,7.623,1/
65th St,9.8532,1/
36th St,0.5346,1/
Delancey St - Essex St,14.7528,3/
Van Siclen Ave,3.5766,1/
Norwood Ave,5.7654,3/
104th-102nd Sts,8.4564,1/
DeKalb Ave,5.1678,2/
Beach 105th St,3.3678,1/
Beach 90th St,7.7598,1/
Freeman St,5.2956,1/
Intervale Ave,2.943,1/
182nd-183rd Sts,4.6728,1/
174th-175th Sts,4.1148,1/
167th St,7.785,3/
Mets - Willets Point,0.027,1/
Junction Blvd,17.6616,2/
Flushing - Main St,20.277,2/
Buhre Ave,20.3274,1/
3rd Ave - 138th St,2.3166,3/
Castle Hill Ave,9.4176,1/
Brooklyn Bridge - City Hall,1.5498,2/
Zerega Ave,5.031,1/
Grand Central - 42nd St,1.3536,2/
33rd St,28.3284,1/
96th St,27.243,1/
77th St,38.7738,1/
Chauncey St,2.3022,1/
Union St,15.3108,1/
Elmhurst Ave,6.7284,1/
Ralph Ave,2.4822,1/
Pelham Pkwy,11.9196,2/
Gun Hill Rd,3.807,2/
Nereid Ave (238 St),5.3658,1/
Franklin Ave,2.9646,1/
Simpson St,1.7856,2/
Bronx Park East,7.326,1/
Winthrop St,3.4452,1/
Van Siclen Ave,1.7964,1/
149th St - Grand Concourse,1.0224,1/
161st St - Yankee Stadium,0.2628,2/
Lexington Ave - 59th St,7.0236,1/
E 149th St,2.0898,3/
Morrison Av - Soundview,6.3522,1/
Whitlock Ave,1.3518,1/
St Lawrence Ave,9.8172,1/
Woodside - 61st St,13.9752,2/
Far Rockaway - Mott Ave,21.9906,2/
72nd St,10.7496,1/
96th St,12.1608,3/
168th St,8.9442,2/
Kingsbridge Rd,5.1876,2/
42nd St - Bryant Pk,0.4572,3/
Prospect Park,4.176,1/
55th St,26.4024,1/
Jamaica - Van Wyck,4.9266,2/
Kew Gardens - Union Tpke,19.2006,2/
Sutphin Blvd - Archer Av,2.349,2/
Court Sq - 23rd St,2.3076,3/
67th Ave,47.8116,1/
Grand Ave - Newtown,12.5136,1/
Ditmas Ave,25.9794,1/
Classon Ave,14.3712,3/
Broadway,8.5194,1/
Lorimer St,6.6276,3/
Sutter Ave,1.9944,1/
Wilson Ave,6.102,4/
Halsey St,6.6888,1/
Lorimer St,6.2334,1/
8th Ave,5.4702,4/
36th Ave,7.893,1/
Broadway,21.9456,3/
Times Sq - 42nd St,0.009,2/
Grand Central - 42nd St,2.6136,1/
Park Pl,7.6284,2/
111th St,4.4964,1/
W 4th St - Washington Sq (Lower),4.7106,2/
51st St,4.2012,2/
86th St,31.158,1/
233rd St,9.045,2/
66th St - Lincoln Ctr,23.9508,2/
Hunts Point Ave,2.5326,2/
Canal St,6.201,1/
Middletown Rd,6.1632,1/
23rd St,15.6744,2/
Court Sq,0.9792,2/
59th St - Columbus Circle,7.2198,2/
Hunters Point Ave,3.4956,1/
23rd St,3.6108,1/
Houston St,6.7212,1/
104th St,3.852,1/
Broad Channel,2.1438,1/
Ocean Pkwy,15.9462,1/
Vernon Blvd - Jackson Ave,6.6348,1/
68th St - Hunter College,14.5062,1/
Queensboro Plz,0.8478,1/
Rockaway Blvd,6.7428,1/
Union Sq - 14th St,6.9228,1/
Bedford - Nostrand Aves,11.043,1/
15th St - Prospect Park,20.2032,1/
7th Ave,28.0152,3/
Ft Hamilton Pkwy,15.2118,1/
Church Ave,19.638,2/
Beverly Rd,8.3844,1/
Church Ave,8.6868,3/
Newkirk Ave,10.2672,1/
Parkside Ave,7.9848,1/
Grand Army Plaza,17.0514,1/
Atlantic Av - Barclay's Center,0.531,2/
Rockaway Ave,1.566,3/
Fulton St,6.3792,1/
Clinton - Washington Aves,16.2198,1/
7th Ave,8.892,1/
Atlantic Av - Barclay's Center,1.476,2/
Atlantic Av - Barclay's Center,6.5268,2/
Borough Hall,4.5306,3/
Aqueduct Racetrack,12.762,1/
Morris Park,13.887,1/
Pelham Pkwy,14.1426,2/
Nostrand Ave,7.2648,3/
Nevins St,2.5704,1/
Eastern Pkwy - Bklyn Museum,4.6548,1/
Beverly Rd,2.061,1/
Church Ave,2.6946,2/
Newkirk Ave,1.8162,1/
Brooklyn College - Flatbush Ave,19.557,2/
Sterling St,10.701,1/
Crown Hts - Utica Ave,9.558,2/
Kingston Ave,15.6366,1/
Nassau Ave,29.2896,1/
Greenpoint Ave,21.8304,1/
Marcy Ave,54.7236,2/
Hewes St,13.4856,1/
138th St - Grand Concourse,0.5256,1/
5th Ave - 53rd St,0.7812,1/
Lexington Ave - 53rd St,36.9684,2/
28th St,3.2994,1/
Herald Sq - 34th St,0.7074,2/
1st Ave,62.0874,1/
Times Sq - 42nd St,0.2862,1/
Metropolitan Ave,7.6716,3/
Grand St,7.5798,3/
Graham Ave,16.4844,1/
Bedford Ave,29.2266,1/
Montrose Ave,7.4466,1/
Long Island City - Court Sq,0.6588,1/
21st St,2.529,1/
39th Ave,1.3446,1/
145th St,9.6984,1/
157th St,11.6028,1/
96th St,41.4648,2/
103rd St,22.86,1/
Central Park North (110th St),4.8978,1/
103rd St,8.775,1/
72nd St,43.9254,2/
81st St,10.4076,3/
75th Ave,10.215,1/
86th St,16.8372,1/
Cathedral Pkwy (110th St),13.896,1/
116th St - Columbia University,15.3882,1/
125th St,5.868,1/
135th St,5.8842,2/
116th St,5.3622,1/
Tremont Ave,6.6456,3/
137th St - City College,10.2186,3/
145th St,3.1122,1/
176th St,3.9726,1/
Burnside Ave,3.8808,3/
170th St,6.8382,1/
168th St,2.6658,3/
181st St,12.1302,1/
191st St,12.8448,1/
175th St,16.7382,2/
Beach 44th St,2.115,1/
Beach 60th St,2.4642,1/
Beach 98th St,3.069,1/
Rockaway Park - Beach 116 St,16.614,2/
Beach 36th St,3.3084,1/
Beach 25th St,13.1274,1/
Parsons Blvd,7.1136,3/
169th St,5.9958,1/
103rd St - Corona Plaza,31.4136,1/
111th St,24.3018,1/
63rd Dr - Rego Park,27.108,1/
Grant Ave,6.4638,1/
79th St,32.8446,1/
Atlantic Ave,1.332,1/
Christopher St - Sheridan Sq,17.775,1/
Ozone Park - Lefferts Blvd,6.9858,2/
Times Sq - 42nd St,0,2/
W 8th St - NY Aquarium,4.3524,1/
28th St,5.1462,1/
28th St,26.82,4/
Pelham Bay Park,7.4628,1/
Westchester Sq - E Tremont Ave,5.2218,1/
18th St,2.1978,1/
Grand Central - 42nd St,29.2176,2/
Beach 67th St,6.3612,4/
W 4th St - Washington Sq (Upper),9.2862,2/
85th St - Forest Pky,10.6254,1/
Woodhaven Blvd,17.622,1/
111th St,10.4292,1/
121st St,18.5742,1/
Halsey St,18.1224,1/
Myrtle - Wyckoff Aves,7.1352,2/
New Lots Ave,5.1228,4/
Van Siclen Ave,1.5948,1/
Cleveland St,4.6044,1/
Livonia Ave,0.2682,1/
Junius St,0.5796,4/
Rockaway Ave,2.0412,1/
Canarsie - Rockaway Pkwy,3.888,2/
E 105th St,3.0024,1/
Saratoga Ave,3.0582,1/
Sutter Ave - Rutland Road,3.0618,1/
New Lots Ave,0.684,1/
Broadway Junction,0.3888,4/
Alabama Ave,1.1016,1/
Shepherd Ave,4.6134,1/
Crescent St,8.5554,1/
Cypress Hills,4.1526,1/
75th St - Eldert Ln,9.5346,1/
69th St,12.4704,1/
74th St - Broadway,15.4764,2/
Woodhaven Blvd - Queens Mall,31.572,4/
Myrtle - Wyckoff Aves,5.0886,2/
Seneca Ave,22.401,1/
DeKalb Ave,13.5864,1/
52nd St,17.262,1/
46th St,20.4696,1/
Northern Blvd,9.2034,4/
46th St,25.9938,4/
82nd St - Jackson Hts,28.9206,1/
90th St - Elmhurst Av,36.8748,1/
Howard Beach - JFK Airport,8.5698,2/
Aqueduct - North Conduit Av,7.0344,2/
Briarwood - Van Wyck Blvd,13.3848,4/
Forest Hills - 71st Av,25.596,2/
Sutphin Blvd,3.2616,1/
Jamaica Ctr - Parsons / Archer,2.1546,2/
225th St,4.2534,1/
Elder Ave,5.4486,1/
Longwood Ave,2.0016,1/
Astoria Blvd,25.5942,1/
Astoria - Ditmars Blvd,46.6812,1/
Jackson Ave,3.3048,1/
Prospect Ave,4.2804,1/
Cypress Ave,1.6722,1/
174th St,4.0968,1/
Allerton Ave,10.3986,1/
E 143rd St - St Mary's St,1.6308,1/
Kingsbridge Rd,5.5908,4/
Bedford Park Blvd - Lehman College,1.242,1/
Harlem - 148 St,2.6028,4/
Mt Eden Ave,3.87,1/
Fordham Rd,13.1508,1/
170th St,3.249,1/
Bedford Park Blvd,7.5168,1/
Marble Hill - 225th St,4.0176,1/
231st St,23.9022,2/
215th St,6.0714,1/
207th St,4.4838,1/
Inwood - 207th St,8.0154,2/
Van Cortlandt Park - 242nd St,9.0936,4/
West Farms Sq - E Tremont Av,10.4616,1/
219th St,2.475,1/
Mosholu Pkwy,8.253,4/
Norwood - 205th St,10.3248,1/
Burke Ave,5.3946,1/
Baychester Ave,4.5144,1/
Eastchester - Dyre Ave,6.6366,1/
Jamaica - 179th St,8.4726,2/
Wakefield - 241st St,3.1104,4/
Botanic Garden,0.81,1/
Bushwick - Aberdeen,0.9882,1/
Broadway Junction,0.1818,4/
Gun Hill Rd,9.8712,2/
E 180th St,4.3398,2/
Dyckman St,9.3402,4/
125th St,13.7754,1/
Franklin Ave - Fulton St,6.7662,2/
149th St - Grand Concourse,1.5084,1/
3rd Ave - 149th St,6.1974,2/
167th St,6.4836,1/
Brook Ave,4.1292,4/
33rd St,3.096,4/
40th St,17.0028,1/
145th St,6.9678,1/
155th St,1.3716,1/
161st St - Yankee Stadium,6.489,2/
Utica Ave,5.6862,2/
Steinway St,13.5432,4/
Kosciuszko St,7.3314,1/
Gates Ave,8.5536,1/
Central Ave,8.1072,1/
Knickerbocker Ave,11.3958,1/
30th Ave,30.591,1/
Jefferson St,14.5116,4/
Morgan Ave,6.039,1/
Queens Plz,0.4842,2/
18th Ave,27.657,1/
77th St,26.9568,1/
Bay Ridge Ave,25.5096,1/
50th St,28.9062,1/
Ft Hamilton Pkwy,17.0586,1/
25th Ave,9.585,1/
Bay Pky,19.1484,2/
20th Ave,11.6604,1/
18th Ave,16.2774,1/
Bay Ridge - 95th St,27.234,1/
86th St,28.7316,1/
79th St,17.8362,1/
71st St,15.6834,1/
20th Ave,18.8064,1/
18th Ave,25.407,4/
62nd St,9.8784,2/
New Utrecht Ave,1.0026,2/
Ave U,11.4354,1/
Kings Hwy,14.6898,4/
Brighton Beach,33.2892,1/
Sheepshead Bay,38.7522,4/
Ave U,29.7918,1/
Kings Hwy,49.8708,2/
Ave U,4.635,1/
Kings Hwy,13.3128,4/
Neptune Ave,15.1776,4/
Ave X,14.3892,1/
Bay 50th St,8.676,1/
Gravesend - 86th St,3.132,1/
Ave P,16.0092,1/
Ave N,17.4024,1/
Bay Pky,3.9474,1/
Ave M,40.2768,1/
Bay Pky,14.3802,1/
Ave I,15.0696,4/
Ave J,26.5752,1/
Ave H,9.1602,2/
Neck Rd,31.1976,1/
21st St - Queensbridge,5.2812,2/
50th St,21.0168,4/
7th Ave,1.9584,4/
47th-50th Sts - Rockefeller Ctr,1.341,2/
57th St,3.2292,1/
Lexington Ave - 63rd St,17.8146,2/
Roosevelt Island - Main St,9.1026,2/
59th St - Columbus Circle,14.5872,2/
49th St,1.7262,4/
57th St,14.9724,1/
5th Ave - 59th St,2.493,1/
Lexington Ave - 59th St,15.2496,4/
34th St - Penn Station,0.7074,2/
Times Sq - 42nd St,0.0396,2/
Fulton St,0.6606,2/
Chambers St,1.2564,1/
42nd St - Port Authority Bus Term,16.7958,2/
Myrtle-Willoughby Aves,12.6036,1/
Flushing Ave,36.4086,1/
23rd St,12.8772,1/
Herald Sq - 34th St,1.4778,2/
Hoyt - Schermerhorn Sts,4.4028,4/
Jay St - MetroTech,1.2978,2/
East Broadway,16.38,1/
Delancey St - Essex St,3.5136,4/
Lower East Side - 2nd Ave,28.0782,1/
Flushing Ave,7.6806,2/
Myrtle Ave,8.1,4/
4th Av - 9th St,5.166,1/
Smith - 9th Sts,8.9802,1/
Bergen St,21.699,1/
Jay St - MetroTech,1.7946,2/
Court St,16.4484,1/
Union Sq - 14th St,3.3588,2/
23rd St,6.1686,1/
Prospect Ave,13.869,1/
4th Av - 9th St,9.765,1/
3rd Ave,18.3384,1/
Union Sq - 14th St,6.1434,2/
Liberty Ave,1.0458,1/
Broadway Junction,0.4122,1/
59th St,9.495,1/
45th St,13.626,1/
36th St,6.1938,4/
9th Ave,6.4134,1/
53rd St,13.653,1/
Ft Hamilton Pkwy,31.8168,1/
25th St,8.1072,1/
Carroll St,31.4424,1/
Spring St,6.0696,1/
181st St,15.5844,4/
190th St,7.857,1/
116th St,7.3944,1/
125th St,6.9066,2/
Prince St,3.285,1/
8th St - NYU,15.3234,1/
Fulton St,9.738,2/
Park Pl,0.5508,1/
Chambers St,9.9018,2/
Hoyt St,1.6416,1/
Borough Hall,1.773,2/
183rd St,3.4164,1/
Fordham Rd,5.499,2/
World Trade Center,2.0664,2/
Canal St - Holland Tunnel,1.9764,1/
155th St,5.9544,1/
163rd St - Amsterdam Av,7.596,1/
Fulton St,1.179,2/
Chambers St,3.6756,1/
Canal St,2.5092,1/
City Hall,2.349,1/
Canal St,2.4714,1/
South Ferry,0.504,2/
Bowling Green,4.8582,2/
Wall St,0.9018,1/
Whitehall St,0.8082,1/
Rector St,0.3834,1/
Fresh Pond Rd,42.3108,1/
Middle Village - Metropolitan Ave,36.855,2/
Rector St,10.5426,1/
Cortlandt St,6.5826,1/
Fulton St,2.3526,2/
Broad St,1.0674,1/
Cortlandt St,1.0926,2/
Wall St,11.0016,1/
Dyckman St,11.979,1/
Grand St,4.3128,1/
Broadway - Lafayette St,4.3074,2/
Bowery,4.3182,1/
Canal St,0.5292,1/
23rd St,21.4542,1/
34th St - Penn Station,7.1388,2/
Jackson Hts - Roosevelt Av,3.7224,2/
14th St,7.0002,4/
135th St,5.0958,1/
14th St,6.2982,4/
6th Ave,9.1206,4/
8th Ave,15.5574,1/
14th St,13.131,2/
Nostrand Ave,6.2928,1/
Clark St,8.9568,1/
Franklin Ave,2.889,2/
Clinton - Washington Aves,10.9854,1/
Forest Ave,36.612,1/
110th St,10.9944,4/
86th St,35.55,4/
York St,9.2502,1/
High St,10.0008,1/
Lafayette Ave,3.3912,1/
President St,6.8994,1/
Woodlawn,3.6072,1/
Bleecker St,8.4276,2/
103rd St,16.722,1/
Euclid Ave,8.2278,2/
88th St,9.5526,1/
Cortelyou Rd,9.8568,1/
116th St,10.4166,1/
Parkchester,14.9418,4/
Franklin St,7.4574,1/
80th St,6.0264,1/
5th Ave - Bryant Pk,1.5318,4/
Spring St,4.5468,1/
125th St,6.111,1/
Coney Island - Stillwell Av,13.1004,2/
34th St - Hudson Yards,17.6454,2/
72nd St,61.7976,2/
86th St,81.5994,2/
96th St,33.0876,2/
