Flushing Ave,2.488,1/
103rd St - Corona Plaza,8.514,1/
50th St,3.896,1/
167th St,13.038,1/
Ft Hamilton Pkwy,5.208,1/
111th St,5.366,1/
Woodhaven Blvd - Queens Mall,12.808,1/
Fordham Rd,9.758,1/
90th St - Elmhurst Av,7.88,1/
Parkchester,11.052,1/
67th Ave,10.476,1/
Freeman St,9.078,1/
Kingsbridge Rd,5.124,1/
182nd-183rd Sts,7.81,1/
170th St,10.718,1/
176th St,9.392,1/
Ditmas Ave,3.51,1/
Sutter Ave - Rutland Road,7.184,1/
55th St,2.952,1/
West Farms Sq - E Tremont Av,11.982,1/
Ave M,6.388,1/
18th Ave,4.152,1/
Ave J,4.096,1/
Beach 25th St,6.462,1/
Ave U,5.194,1/
Norwood - 205th St,6.626,1/
Carroll St,2.828,1/
Bedford Park Blvd,5.594,1/
St Lawrence Ave,7.02,1/
Elder Ave,7.924,1/
18th Ave,5.4,1/
53rd St,3.054,1/
Burnside Ave,6.2,1/
Saratoga Ave,8.194,1/
169th St,4.248,1/
Forest Ave,2.75,1/
Sheepshead Bay,7.316,1/
174th St,5.982,1/
Grand Ave - Newtown,4.824,1/
20th Ave,4.386,1/
82nd St - Jackson Hts,6.098,1/
Kingston Ave,4.506,1/
Bay Ridge Ave,4.706,1/
Newkirk Ave,4.038,1/
167th St,7.86,1/
Myrtle-Willoughby Aves,4.084,1/
Tremont Ave,6.338,1/
1st Ave,11.066,1/
Astoria - Ditmars Blvd,6.302,1/
Neck Rd,6.498,1/
Fresh Pond Rd,3.64,1/
183rd St,3.79,1/
Prospect Ave,7.476,1/
174th-175th Sts,4.082,1/
7th Ave,2.402,1/
225th St,5.796,1/
Mt Eden Ave,6.716,1/
Castle Hill Ave,5.356,1/
8th Ave,3.15,1/
Church Ave,3.306,1/
New Lots Ave,6.364,1/
170th St,5.166,1/
Ft Hamilton Pkwy,4.602,1/
Morrison Av - Soundview,6.576,1/
Kingston - Throop Aves,5.268,1/
125th St,6.014,1/
45th St,3.37,1/
